"","season","team_name","division","conference","record","win_perc","team_id","coach_id"
"11902","2004","Alabama","D-I","SEC","45-20-0","0.692","8",1048
"11903","2004","Miles","D-II","SIAC","0-10-0","0.000","422",2171
"11904","2004","Southern Conn. St.","D-II","NE10","11-31-0","0.262","658",601
"11905","2004","UC San Diego","D-II","CCAA","29-27-0","0.518","112",829
"11906","2004","Elon","D-I","SoCon","33-23-1","0.589","1068",1787
"11907","2004","Oklahoma","D-I","Big 12","45-22-1","0.672","522",1050
"11908","2004","Keuka","D-III","-","2-13-0","0.133","1159",1807
"11909","2004","Thomas (ME)","D-III","North Atlantic","22-19-0","0.537","2758",2092
"11910","2004","Liberty","D-I","Big South","19-44-0","0.302","355",908
"11911","2004","St. Cloud St.","D-II","NCC","42-15-0","0.737","598",1450
"11912","2004","Siena","D-I","MAAC","14-33-1","0.298","639",2086
"11913","2004","Adams St.","D-II","RMAC","8-41-0","0.163","929",1620
"11914","2004","Emory","D-III","UAA","37-12-0","0.755","217",1524
"11915","2004","Wheaton (IL)","D-III","CCIW","5-27-0","0.156","778",2006
"11916","2004","Southeastern La.","D-I","Southland","23-25-0","0.479","655",1070
"11917","2004","Long Beach St.","D-I","Big West","51-13-0","0.797","99",171
"11918","2004","Union (NY)","D-III","NYSWCAA","25-5-1","0.833","727",1467
"11919","2004","Emerson","D-III","Great Northeast","13-15-0","0.464","214",1654
"11920","2004","Nicholls","D-I","Southland","24-29-0","0.453","483",1528
"11921","2004","Wis. Lutheran","D-III","Lake Michigan","7-20-0","0.259","8911",1615
"11922","2004","UC Riverside","D-I","Big West","13-50-0","0.206","111",863
"11923","2004","DeSales","D-III","MAC Freedom","19-14-0","0.576","20",1383
"11924","2004","Assumption","D-II","NE10","20-24-0","0.455","36",1364
"11925","2004","UMass Dartmouth","D-III","Little East","4-18-0","0.182","656",2222
"11926","2004","Tennessee","D-I","SEC","55-16-0","0.775","694",264
"11927","2004","Valparaiso","D-I","Summit League","21-34-0","0.382","735",1752
"11928","2004","Seton Hall","D-I","AAC","46-19-0","0.708","635",1321
"11929","2004","Prairie View","D-I","SWAC","21-28-0","0.429","553",2194
"11930","2004","Luther","D-III","American Rivers","18-21-0","0.462","372",1942
"11931","2004","NVU-Johnson","D-III","North Atlantic","17-16-0","0.515","324",2074
"11932","2004","Swarthmore","D-III","Centennial","10-22-0","0.312","686",562
"11933","2004","UCF","D-I","ASUN","42-21-0","0.667","128",746
