"","first","last","team"
"392","Allanah","Alvarado","Utah St."
"393","Brissa","Alvarado","Coppin St."
"394","Kiaris","Alvarado rojas","Georgetown"
"395","Bella","Alvarez","Western Ill."
"396","Breanna","Alvarez","South Dakota"
"397","Cecilia","Alvarez","San Jose St."
"398","Daniela","Alvarez","Providence"
"399","Ellie","Alvarez","Bellarmine"
"400","Gabby","Alvarez","Ole Miss"
"401","Giselle","Alvarez","Morgan St."
"402","Leilyn","Alvarez","Rhode Island"
"403","Lorena","Alvarez","Hampton"
"404","Makayla","Alvarez","Binghamton"
"405","Mia","Alvarez","California Baptist"
"406","Natalie","Alvarez","Ohio"
"407","Valerie","Alvarez","California Baptist"
"408","Vanessa","Alvarez","California"
"409","Victoria","Alvarez","Creighton"
"410","Yvette","Alvarez","Indiana St."
"411","Tori","Alvarez-lopez","UIW"
"412","Taran","Alvelo","Washington"
"413","Carly","Alvers","DePaul"
"414","Camryn","Alverson","Presbyterian"
"415","Laila","Alves","Syracuse"
"416","Makayla","Alvey","Lipscomb"
"417","Alexis","Alvino","Coastal Carolina"
"418","Precious","Alvizo","Texas Southern"
"419","Allie","Alvstad","Missouri St."
"420","Jaclyn","Amader","Liberty"
"421","Daniella","Amador","Spring Hill"
"422","Jenavee","Amador","Saint Mary's (CA)"
"423","Deja","Amaker","N.C. Central"
"424","Jessica","Amaral","UCLA"
"425","Morgan","Amarante","Western Mich."
"426","Anissa","Amarillas","Villanova"
"427","Abigail","Amato","Merrimack"
"428","Alyson","Ambler","UConn"
"429","Bri","Ambrose","Boise St."
"430","Lyla","Ambrose","Buffalo"
"431","Madison","Ambush","Hofstra"
"432","Kelly","Amen","Georgetown"
"433","Allie","Amerson","Nicholls"
"434","Jordan","Amerson","Charlotte"
"435","Jordan","Amerson","Alabama St."
"436","Kassidy","Amerson-fox","Kennesaw St."
"437","Ashlyn","Ames","Idaho St."
"438","Jennifer","Ames","Eastern Ill."
"439","Kristen","Ames","Eastern Ill."
"440","Lauren","Amezcua","Cal St. Fullerton"
"441","Nadia","Amezcua","CSU Bakersfield"
"442","Shaina","Amir","Lamar University"
"443","Maya","Amm","Fla. Atlantic"
"444","Lara","Ammermann","Hardin-Simmons"
"445","Mackenzie","Amodeo","UNCW"
"446","Nicole","Amodio","Boston U."
"447","Kalie","Amos","Lamar University"
"448","Kiara","Amos","Providence"
"449","Lily","Amos","Cal Poly"
"450","Maddie","Amos","Cal Poly"
"451","Kaelin","Amrein","San Jose St."
"452","Paulina","Anasis","Northwestern"
"453","Kaylee","Ancelot","Lamar University"
"454","Kelsey","Ancelot","Centenary (LA)"
"455","Erika","Andal","Boston College"
"456","Acacia","Anders","California"
"457","Meagan","Anders","Utah Tech"
"458","Tristin","Anders","Lamar University"
"459","Abby","Andersen","Arizona St."
"460","Abby","Andersen","Nicholls"
"461","Cam","Andersen","Radford"
"462","Cam","Andersen","Norfolk St."
"463","Cheyenne","Andersen","UNI"
"464","Julia","Andersen","South Dakota St."
"465","Michelle","Andersen","Southern Utah"
"466","Sammy","Andersen","Butler"
"467","Abby","Anderson","MSU Denver"
"468","Alana","Anderson","George Washington"
"469","Alex","Anderson","Butler"
"470","Alexandra","Anderson","George Mason"
"471","Alexis","Anderson","Southeast Mo. St."
"472","Allison","Anderson","UMES"
"473","Alysia","Anderson","ULM"
"474","Annika","Anderson","MSU Denver"
"475","Arielle","Anderson","Eastern Mich."
"476","Ashlyn","Anderson","Kansas"
"477","Autumn","Anderson","Northern Colo."
"478","Autumn","Anderson","SFA"
"479","Brianna","Anderson","Hampton"
"480","Brittany","Anderson","Valparaiso"
"481","Cameron","Anderson","Tennessee St."
"482","Dana","Anderson","Penn"
"483","Denise","Anderson","Florida A&M"
"484","Emily","Anderson","Georgia Tech"
"485","Emily","Anderson","Toledo"
"486","Hannah","Anderson","St. John's (NY)"
"487","Hannah","Anderson","Ithaca"
"488","Jessica","Anderson","Campbell"
"489","Jillian","Anderson","Southeast Mo. St."
"490","Jordan","Anderson","George Mason"
"491","Kailey","Anderson","Louisiana Tech"
"492","Kaitlyn","Anderson","Santa Clara"
"493","Kaylee","Anderson","Southeast Mo. St."
"494","Kendall","Anderson","Charleston So."
"495","Kirsten","Anderson","Utah Valley"
"496","Kloyee","Anderson","Alabama"
"497","Korynna","Anderson","Longwood"
"498","Laura","Anderson","Drake"
"499","Lauren","Anderson","Miami (OH)"
"500","Lauren","Anderson","Santa Clara"
"501","Lauren","Anderson","Central Baptist"
"502","Lindsay","Anderson","Morehead St."
"503","Maddy","Anderson","Western Ill."
"504","Mary greg","Anderson","Alabama"
"505","Mary greg","Anderson","Kennesaw St."
"506","Meagan","Anderson","St. Thomas (TX)"
"507","Megan","Anderson","Presbyterian"
"508","Mollie","Anderson","Bryant"
"509","Mya","Anderson","UT Arlington"
"510","Nikki","Anderson","Minnesota"
"511","Rachel","Anderson","Southeast Mo. St."
"512","Raya","Anderson","Simmons"
"513","Rylie","Anderson","Davis & Elkins"
"514","Sara","Anderson","Pacific"
"515","Sara","Anderson","UAlbany"
"516","Scarlet","Anderson","Rhode Island"
"517","Scarlet","Anderson","Bowling Green"
"518","Sierra","Anderson","Christian Brothers"
"519","Skyler","Anderson","Ark.-Monticello"
"520","Stephanie","Anderson","Central Mich."
"521","Susannah","Anderson","Boston College"
"522","Sydney","Anderson","Kent St."
"523","Tanisha","Anderson","Southern Utah"
"524","Taylor","Anderson","Georgia St."
"525","Toni","Anderson","Florida A&M"
"526","Vanessa","Anderson","North Dakota St."
"527","Chaylen","Andolino","Bucknell"
"528","Jess","Andree","Belmont"
"529","Gabbie","Andrepont","LSU-Alexandria"
"530","Blake","Andres","Christian Brothers"
"531","Kaylyn","Andress","Saint Francis (PA)"
"532","Emma","Andrew","Mercer"
"533","Paris","Andrew","Purdue"
"534","Sydney","Andrew","Southern U."
"535","Emma","Andrewjeski","BYU"
"536","A,j","Andrews","LSU"
"537","Aaliyah","Andrews","Indiana"
"538","Aliyah","Andrews","LSU"
"539","Athena","Andrews","Florida A&M"
"540","Billie","Andrews","Nebraska"
"541","Brooke","Andrews","Nebraska"
"542","Cameron","Andrews","Southern U."
"543","Christina","Andrews","Brown"
"544","Dallas","Andrews","LIU"
"545","Hailey","Andrews","Kennesaw St."
"546","Kendall","Andrews","Chattanooga"
"547","Mckenna","Andrews","Iowa St."
"548","Robyn","Andrews","Columbia Int'l"
"549","Sarah","Andrews","Canisius"
"550","Katie","Andrie","Sam Houston"
"551","Erin","Andris","DePaul"
"552","Lexi","Androlevich","Jacksonville St."
"553","Haley","Andrus","Kentucky"
"554","Haley","Andrus","Southern Ill."
"555","Alyssa","Angel","Texas"
"556","Briana","Angel","UT Arlington"
"557","Ali","Angelbello","Villanova"
"558","Maria","Angelino","Dartmouth"
"559","Shay","Angelle","Xavier (LA)"
"560","Christaana","Angelopulos","Wisconsin"
"561","Logan","Angers","Quinnipiac"
"562","Jessica","Angersbach","Villanova"
"563","Hayley","Anguiano","Texas Southern"
"564","Sabrina","Anguiano","Bethune-Cookman"
"565","Kendall","Angulo","UTEP"
"566","Peyton","Angulo","Utah Valley"
"567","Peyton","Angulo","LMU (CA)"
"568","Peyton","Angulo","UTEP"
"569","Nicolette","Anico","Rutgers"
"570","Lizzie","Annerino","Boston U."
"571","Abi","Annett","North Florida"
"572","Ashlee","Annett","California Baptist"
"573","Alyssa","Ansara","Rider"
"574","Bekah","Ansbro","George Mason"
"575","Megan","Antaya","JWU (Providence)"
"576","Dylan","Anthony","Stetson"
"577","Emma","Anthony","East Carolina"
"578","Emma","Anthony","Southern Ill."
"579","Kaley","Anthony","Alabama St."
"580","Madison","Anthony","Oregon St."
"581","Madison","Anthony","Boise St."
"582","Emma","Antich","Cornell"
"583","Nychole","Antillon","Iowa St."
"584","Taryn","Antoine","LSU"
"585","Nicole","Antonacci","St. Bonaventure"
"586","Ashley","Antonazzo","Central Conn. St."
"587","Maddie","Antone","Winthrop"
"588","Serena","Antone","Prairie View"
"589","Izzy","Antonelli","Boston U."
"590","Liana","Antonelli","James Madison"
"591","Celina","Antonellis","Bucknell"
"592","Nikki","Antuna","Saint Peter's"
"593","Jasmine","Antunez","Cal St. Fullerton"
"594","Tatum","Anzaldo","California"
"595","Alexa","Anzaldua","Houston"
"596","Natalia","Apatiga","Quinnipiac"
"597","Kara","Apato","NIU"
"598","Gabi","Apiag","UAB"
"599","Gabi","Apiag","Austin Peay"
"600","Allison","Apke","Bradley"
"601","Tess","Apke","Robert Morris"
"602","Stefanie","Aplin","Wagner"
"603","Cheyenne","Aplon","Jackson St."
"604","Lauren","Apollaro","Columbia"
"605","Faith","Apolskis","Pacific"
"606","Amiyah","Aponte","Pacific"
"607","Grace","Appelbe","Georgetown"
"608","Katherine","Appelbe","Harvard"
"609","Stephanie","Appelberg","Sacred Heart"
"610","Madison","Applebe","UCF"
"611","Anna","Aproberts","Carroll (MT)"
"612","Anna","Aproberts","Carroll (MT)"
"613","Julia","Apsel","Hofstra"
"614","Anna","Aquino","Akron"
"615","Stefania","Aradillas","San Diego St."
"616","Gabby","Aragon","New Mexico St."
"617","Gianna","Araki","UC Riverside"
"618","Kaycee","Arase","Corban"
"619","Nicole","Arata","Utah St."
"620","Shelby","Arbeiter","California Baptist"
"621","Taryn","Arcarese","Colorado St."
"622","Ava","Arce","Cal St. Fullerton"
"623","Kendalyn","Arceneaux","Grambling"
"624","Sarah","Arceneaux","Louisiana"
"625","Haylei","Archer","California"
"626","Nicole","Archer","LIU"
"627","Taylor","Archer","Rhode Island"
"628","Rebecca","Archibald","St. Thomas (TX)"
"629","Alyssa","Archuleta","Austin Peay"
"630","Ashley","Archuleta","New Mexico"
"631","Hailey","Archuleta","Syracuse"
"632","Lauren","Archuleta","Arkansas"
"633","Kendall","Arcia","Towson"
"634","Alex","Arciola","North Florida"
"635","Ansley","Ard","South Carolina"
"636","Ashlan","Ard","Troy"
"637","Ashlan","Ard","ULM"
"638","Alyssa","Arden","Tennessee Tech"
"639","Laila","Arditto","CSU Bakersfield"
"640","Erin","Ardoin","McNeese"
"641","Mykaela","Arellanes","NIU"
"642","Mykaela","Arellanes","Southeast Mo. St."
"643","Madeline","Arellano","TAMU-San Antonio"
"644","Skylar","Arellano","South Dakota"
"645","Halle","Arends","UNLV"
"646","Halle","Arends","North Florida"
"647","Samantha","Arents","Wisconsin"
"648","Alyssa","Argomaniz","California Baptist"
"649","Amanda","Argomaniz","California Baptist"
"650","Carly","Argyle","Iona"
"651","Colby","Argyle","Utah St."
"652","Kristen","Arias","Drake"
"653","Renee","Ariola","Northwestern"
"654","Whitney","Arion","Louisville"
"655","Micaela","Arizmendi","Notre Dame"
"656","Rikki","Arkansas","Austin Peay"
"657","Samantha","Arledge","Okla. Panhandle"
"658","Amber","Arlinghaus","Morgan St."
"659","Isabel","Armand","Louisiana Col."
"660","Alleyah","Armendariz","Utah St."
"661","Camyl","Armendariz","Nebraska"
"662","Denise","Armendariz","UNLV"
"663","Jazmyne","Armendariz","Ball St."
"664","Payge","Armendariz","Utah Valley"
"665","Erica","Armenti","UMass Lowell"
"666","Kaylee","Armida","Eastern Conn. St."
"667","Carson","Armijo","UCLA"
"668","Carson","Armijo","Texas Tech"
"669","Ellie","Armistead","Georgia"
"670","Tyler","Armistead","Georgia"
"671","Tyler","Armistead","UAB"
"672","Reagan","Armour","Chattanooga"
"673","Alicia","Armstrong","Nebraska"
"674","Emma","Armstrong","Hartford"
"675","Emma","Armstrong","Towson"
"676","Jana kelbie","Armstrong","Montevallo"
"677","Laila","Armstrong","Tennessee St."
"678","Madison","Armstrong","Western Caro."
"679","Maggie","Armstrong","IUPUI"
"680","Measia","Armstrong","Florida A&M"
"681","Allie","Arneson","Virginia"
"682","Allie","Arneson","Minnesota"
"683","Stephanie","Arneson","Binghamton"
"684","Amanda","Arnett","Ball St."
