"","first","last","team"
"685","Ashley","Arnold","Alcorn"
"686","Cambry","Arnold","James Madison"
"687","Caylan","Arnold","Tennessee"
"688","Caylan","Arnold","Florida St."
"689","Caylor","Arnold","Northwestern"
"690","Kabria","Arnold","Morgan St."
"691","Karissa","Arnold","Georgia Tech"
"692","Karissa","Arnold","UC Riverside"
"693","Kelsey","Arnold","Oklahoma"
"694","Lilyann","Arnold","Elizabeth City St."
"695","Megan","Arnold","BYU"
"696","Shelese","Arnold","Illinois"
"697","Whitley","Arnott","ETSU"
"698","Micah","Arps","SIUE"
"699","Katie","Arrambide","Harvard"
"700","Joelle","Arrante","Seton Hall"
"701","Anissa","Arredondo","Tex. A&M-Commerce"
"702","Alexis","Arrendondo","Jackson St."
"703","Amber","Arreola","Idaho St."
"704","Leslie","Arreola","Ark.-Pine Bluff"
"705","Marisa","Arriaga","SFA"
"706","Melissa","Arriaga","McNeese"
"707","Melissa","Arriaga","Nevada"
"708","Jessica","Arrington","Tennessee Tech"
"709","Mckenna","Arriola","Oregon St."
"710","Gianna","Arrizurieta","Penn St."
"711","Jade","Arroyo","Mississippi Val."
"712","Madison","Arroyo","Mississippi St."
"713","Miranda","Arruda","Seton Hall"
"714","Jade","Arslanian","Sacramento St."
"715","Hailey","Arteaga","Seton Hall"
"716","Rachel","Arthur","Nebraska"
"717","Cambria","Arturo","Jacksonville"
"718","Samantha","Asbra","Drexel"
"719","Maria","Ascher","Quinnipiac"
"720","Morgan","Ash","UConn"
"721","Tori","Ash","Mercer"
"722","Erin","Ashby","Stanford"
"723","Brooke","Ashenfelter","UMass Lowell"
"724","Beth","Ashley","Louisiana"
"725","Jordan","Ashley","Presbyterian"
"726","Ali","Ashner","Arizona"
"727","Miyache","Ashworth","Kentucky St."
"728","Taylor","Asimakopoulos","Radford"
"729","Syerra","Askew","N.C. A&T"
"730","Tyanna","Askew","Fort Valley St."
"731","Madison","Askins","LMU (CA)"
"732","Taylor","Askland","Indiana"
"733","Hailey","Aspinwall","Bryant"
"734","Madison","Aston","Canisius"
"735","Madison","Aston","Colgate"
"736","Alex","Astorga","Detroit Mercy"
"737","Arianna","Atchley","Alabama St."
"738","Sissy","Atchley","Alabama St."
"739","Lexi","Atcitty","BYU"
"740","Kimmie","Atienza","Louisiana Tech"
"741","Mackenzie","Atkerson","Army West Point"
"742","Amber","Atkins","ETSU"
"743","Averee","Atkins","Radford"
"744","Karah","Atkins","Bowie St."
"745","Amber","Atkinson","South Fla."
"746","Kaylie","Atkinson","UC Riverside"
"747","Tayler","Atkinson","Sam Houston"
"748","Alivia","Atlee","Providence (MT)"
"749","Taryn","Atlee","Rutgers"
"750","Taryn","Atlee","Washington"
"751","Julian","Atteberry","USC Upstate"
"752","Caitlin","Attfield","UAB"
"753","Reese","Atwood","Texas"
"754","Shelby","Atzinger","Eastern Ky."
"755","Chenoa","Au","Hawaii"
"756","Krystal","Aubert","Washington"
"757","Krystal","Aubert","Sacramento St."
"758","Lauren","Aubry","Saint Francis (PA)"
"759","Gretchen","Aucoin","Tennessee"
"760","Mackenzie","Audas","UCF"
"761","Aspen","Auger","A&M-Corpus Christi"
"762","Jordan","Aughinbaugh","NC State"
"763","Madie","Aughinbaugh","Fordham"
"764","Alicia","Aughton","La Salle"
"765","Jordan","Auginbaugh","Maryland"
"766","Stavi","Augur","Coastal Carolina"
"767","Stavi","Augur","Monmouth"
"768","Hannah","August","Central Conn. St."
"769","Taylor","August","UMass Lowell"
"770","Cadence","Augustine","Valparaiso"
"771","Justina","Augustine","Longwood"
"772","Madie","Augusto","Dartmouth"
"773","Jordyn","Augustus","South Carolina"
"774","Jessica","Auld","Campbell"
"775","Ryleigh","Aungst","Memphis"
"776","Madison","Aurin","San Jose St."
"777","Sophia","Ausmus","Dartmouth"
"778","Emma","Austin","Southern Ill."
"779","Paige","Austin","Biola"
"780","Sarah","Austin","Jackson St."
"781","Sydney","Austin","Utah Valley"
"782","Carley","Auten","Akron"
"783","Geena","Autry","NC State"
"784","Hannah","Auvil","Kutztown"
"785","Huntyr","Ava","BYU"
"786","Alyssa","Avalos","Baylor"
"787","Ansie","Avalos","California Baptist"
"788","Rhea-ann","Avalos","A&M-Corpus Christi"
"789","Mary wilson","Avant","Georgia"
"790","Jocelyn","Avera","Howard"
"791","Megan","Averitt","Dartmouth"
"792","Savanna","Aversa","Army West Point"
"793","Bri","Avery","Butler"
"794","Lizzy","Avery","Boston U."
"795","Madeline","Avery","Cornell"
"796","Alyssa","Avila","San Jose St."
"797","Anissa","Avila","ETSU"
"798","Elizabeth","Avila","Jarvis Christian"
"799","Maya","Avila","LIU"
"800","Yazzy","Avila","New Mexico St."
"801","Yazzy","Avila","Illinois"
"802","Savanna","Avilla","Virginia"
"803","Fale","Aviu","Oklahoma"
"804","Patricia","Awald","Kennesaw St."
"805","Patricia","Awald","Georgia Tech"
"806","Laura","Axson","Jackson St."
"807","Amanda","Ayala","Tennessee"
"808","Bella","Ayala","Fordham"
"809","Holly","Ayala","Tennessee St."
"810","Lael","Ayala","Harvard"
"811","Natalie","Ayala","Austin Peay"
"812","Nicole","Ayala","Southeastern La."
"813","Nicole","Ayala","Charleston So."
"814","Sophia","Ayala","Fairleigh Dickinson"
"815","Sophia","Ayala","FDU"
"816","Victoria","Ayala","Hawaii"
"817","Kyra","Aycock","Oklahoma St."
"818","Kelly","Ayer","Virginia"
"819","Aleshia","Ayers","Villanova"
"820","Averie","Ayers","Central Baptist"
"821","Kaitlynn","Ayers","Carroll (MT)"
"822","Maddi","Ayers","San Diego St."
"823","Morgan","Ayers","Winthrop"
"824","Nicole","Ayers","USciences"
"825","Holly","Azevedo","UCLA"
"826","Kiara","Azevedo","CSU Bakersfield"
"827","Kinza","Baad","Virginia"
"828","Grace","Baalman","Kentucky"
"829","Maddie","Baalman","Saint Louis"
"830","Sydney","Baalman","SIUE"
"831","Malia","Babasa","Eastern Ky."
"832","Elyse","Babb","Butler"
"833","Ellie","Babbitt","Portland St."
"834","Mackenzie","Babbitt","CSUN"
"835","Jaci","Babbs","Kentucky"
"836","Pamala","Baber","UTEP"
"837","Sydney","Babik","Seton Hall"
"838","Armani","Babin","Grambling"
"839","Allyson","Babinsack","Hampton"
"840","Nicole","Babrowski","North Dakota"
"841","Brynn","Baca","Lamar University"
"842","Melanie","Baccay","Michigan St."
"843","Hannah","Bach","Pittsburgh"
"844","Leanna","Bachman","Ohio"
"845","Paige","Bachman","Liberty"
"846","Taylor","Bachmeyer","Ole Miss"
"847","Taylor","Bachmeyer","Sam Houston"
"848","Bella","Backer","Elon"
"849","Lilli","Backes","North Carolina"
"850","Carli","Backlund","Central Conn. St."
"851","Alana","Backstrom","Drexel"
"852","Sydney","Backstrom","Longwood"
"853","Bella","Bacon","Purdue"
"854","Lourdes","Bacon","UTSA"
"855","Lourdes","Bacon","ULM"
"856","Zoe","Bacon","UTSA"
"857","Dee","Baddley","Lipscomb"
"858","Cate","Bade","Princeton"
"859","Sarah","Bader","Youngstown St."
"860","Corinne","Badger","Stony Brook"
"861","Abbott","Badgley","Bradley"
"862","Addison","Baele","Liberty"
"863","Abby","Baez","Purdue Fort Wayne"
"864","Annika","Baez","Indiana"
"865","Paolina","Baez","A&M-Corpus Christi"
"866","Taylor","Baez","Mississippi Val."
"867","Jina","Baffuto","Louisiana Tech"
"868","Caroline","Baggeroer","Syracuse"
"869","Tara","Baglivo","Bucknell"
"870","Jessica","Bagnell","Mont. St. Billings"
"871","Campbell","Bagshaw","Kansas"
"872","Stephanie","Bagwell","Lyon"
"873","Brianna","Bahadue","FIU"
"874","Jordyn","Bahl","Oklahoma"
"875","Taylor","Bahos","South Alabama"
"876","Chloe","Bahruth","UAB"
"877","Alexis","Bailey","Iona"
"878","Annie","Bailey","Sam Houston"
"879","Autumn","Bailey","Akron"
"880","Brenna","Bailey","Toledo"
"881","Brianna","Bailey","Troy"
"882","Brianna","Bailey","Iona"
"883","Brianna","Bailey","ETSU"
"884","Bridget","Bailey","Kutztown"
"885","Brinaya","Bailey","Kennesaw St."
"886","Caryn","Bailey","Hofstra"
"887","Danika","Bailey","California"
"888","Dylan","Bailey","Montevallo"
"889","Ellie","Bailey","South Carolina"
"890","Ellie","Bailey","Texas Tech"
"891","Hannah","Bailey","Minnesota"
"892","Hannah","Bailey","Boise St."
"893","Jayme","Bailey","Virginia Tech"
"894","Julia","Bailey","Ball St."
"895","Julia","Bailey","Nicholls"
"896","Katie anne","Bailey","Mississippi St."
"897","Kayla","Bailey","UAlbany"
"898","Kendyll","Bailey","Missouri"
"899","Kennedy","Bailey","UNI"
"900","Kyndall","Bailey","Purdue"
"901","Lainee","Bailey","Southeastern La."
"902","Madison","Bailey","Manhattan"
"903","Maya","Bailey","Virginia St."
"904","Melodie","Bailey","St. Joseph's (ME)"
"905","Katie","Bailiff","North Carolina"
"906","Sarah","Bailitz","Dayton"
"907","Alannah","Baiyina","Howard"
"908","Rissa","Bajusz","Western Mich."
"909","Sydney","Bajusz","Cleveland St."
"910","Mackenzie","Bakel","Christian Brothers"
"911","Annie","Bakenhus","Bethune-Cookman"
"912","Annie","Bakenhus","Charleston So."
"913","Addi","Baker","Southern Ill."
"914","Ashlee","Baker","Gardner-Webb"
"915","Ashley","Baker","Green Bay"
"916","Brianna","Baker","UMBC"
"917","Brianna","Baker","Delaware St."
"918","Brieanna","Baker","Buffalo"
"919","Brooklyn","Baker","Jackson St."
"920","Cayden","Baker","Texas A&M"
"921","Chloe","Baker","Winthrop"
"922","Danielle","Baker","Jacksonville"
"923","Delaney","Baker","BYU"
"924","Emilee","Baker","A&M-Corpus Christi"
"925","Emilee","Baker","Texas St."
"926","Hayley","Baker","Belmont"
"927","Jada","Baker","Duke"
"928","Jaelyn","Baker","Delaware St."
"929","Kameryn","Baker","Savannah St."
"930","Katie","Baker","Campbell"
"931","Katie","Baker","Florida St."
"932","Kayla","Baker","Western Ky."
"933","Kelli","Baker","Texas St."
"934","Lainey","Baker","Samford"
"935","Libby","Baker","Troy"
"936","Maggie","Baker","Eastern Conn. St."
"937","Mallory","Baker","Purdue"
"938","Megan","Baker","Mount St. Mary's"
"939","Nicole","Baker","UMES"
"940","Rachel","Baker","Mercer"
"941","Ryleigh","Baker","Alabama St."
"942","Simchah","Baker","Langston"
"943","Sommer","Baker","Fla. Atlantic"
"944","Sydney","Baker","Saint Francis (PA)"
"945","Anayah","Baker-rowell","Tennessee St."
"946","Colissa","Bakovich","MSU Denver"
"947","Kaila","Balatgek","Pittsburgh"
"948","Kiki","Baldassari","Providence"
"949","Brooklyn","Balderas","Huston-Tillotson"
"950","Morgan","Balderas","Monmouth"
"951","Addie","Balderston","Kansas"
"952","Jaylin","Baldridge","Houston"
"953","Amber","Baldwin","Middle Tenn."
"954","Bailee","Baldwin","UTSA"
"955","Savannah","Baldwin","Western Caro."
"956","Sierra","Baldwin","N.C. A&T"
"957","Stella","Bale","Dartmouth"
"958","Sydney","Bales","George Mason"
"959","Amy","Balich","Ohio St."
"960","Maggie","Balint","Oregon"
"961","Maggie","Balint","San Diego St."
"962","Maria","Balistreri","Saint Louis"
"963","Hailey","Balk","Towson"
"964","Madi","Balk","Florida St."
"965","Mady","Balke","Campbell"
"966","Rachael","Balke","Lincoln (MO)"
"967","Alena","Ball","George Mason"
"968","Chandler","Ball","Liberty"
"969","Courtney","Ball","Chattanooga"
"970","Courtney","Ball","Ga. Southern"
"971","Jessica","Ball","Louisiana Tech"
"972","Kristen","Ball","Fairfield"
"973","Makenzie","Ball","Southern Utah"
"974","Ryley","Ball","Utah"
"975","Skyler","Ball","Southern Utah"
"976","Brooke","Ballard","Northern Colo."
"977","Imani","Ballard","Howard"
"978","Lexie","Ballard","Jacksonville"
"979","Reid","Ballard","UT Martin"
"980","Ameenah","Ballenger","UMES"
"981","Emily","Ballesteros","Army West Point"
"982","Robynn","Balmediano","Santa Clara"
"983","Olivia","Baltazar","Towson"
"984","Martha","Balthasar","Buffalo"
"985","Jenna","Balthazor","Purdue Fort Wayne"
"986","Megan","Baltzell","Longwood"
"987","Sarah","Baluch","Bucknell"
"988","Jessica","Balzano","Loyola Chicago"
"989","Cheyenne","Balzer","NC State"
"990","Hope","Banales","New Mexico St."
"991","Michelle","Banales","South Dakota"
"992","Hannah","Bandimere","LMU (CA)"
"993","Parker","Bandy","Illinois St."
"994","Parker","Bandy","Southeast Mo. St."
"995","Brooklyn","Bane","Bradley"
"996","Kayla","Bane","Michigan St."
"997","Brittany","Baneck","Green Bay"
"998","Grace","Banes","Iowa"
"999","Paige","Bange","Missouri"
"1000","Megan","Baniecke","St. Thomas (MN)"
"1001","Briana","Banks","Howard"
"1002","Ciera","Banks","Bethune-Cookman"
"1003","Kellon","Banks","Alabama A&M"
"1004","Khloe","Banks","Purdue"
"1005","Lauryn","Banks","Texas Southern"
"1006","Macy","Banks","Georgia St."
"1007","Maddi","Banks","Virginia Tech"
"1008","Maddi","Banks","Ole Miss"
"1009","Maddi","Banks","Miami (OH)"
"1010","Madi","Banks","Ga. Southern"
"1011","Ej","Bankson","George Mason"
"1012","Tori","Bankston","Mississippi Col."
"1013","Peyton","Bannon","Wisconsin"
"1014","Kayla","Baptista","North Carolina"
"1015","Alicia","Barajas","Southern U."
"1016","Jaeden","Barajas","Utah Valley"
"1017","Rocio","Barajas","Jarvis Christian"
"1018","Kelsey","Barak","Grand Canyon"
"1019","Susie","Baranski","Southern Ill."
"1020","Alexis","Barashkoff","UNLV"
"1021","Alexis","Barashkoff","Northern Colo."
"1022","Caroline","Baratta","Marist"
"1023","Nikki","Barba","Quinnipiac"
"1024","Mac","Barbara","Ole Miss"
"1025","Mac","Barbara","San Diego St."
"1026","Katie","Barbarick","Holy Cross"
"1027","Katie","Barbarick","UC Riverside"
"1028","Nadia","Barbary","Mississippi St."
"1029","Cassi","Barbato","Radford"
"1030","Mari","Barbato","Toledo"
"1031","Brittany","Barbay","LSU-Alexandria"
"1032","Hayley","Barbazon","Northwestern St."
"1033","Serenity","Barbee","Virginia St."
"1034","Shelby","Barbee","Virginia"
"1035","Walker","Barbee","Elon"
"1036","Walker","Barbee","Pittsburgh"
"1037","Cristina","Barbella","Brown"
"1038","Abigail","Barber","Virginia"
"1039","Caitie","Barber","Towson"
"1040","Catie","Barber","Louisville"
"1041","Jimericka","Barber","LeMoyne-Owen"
"1042","Mallory","Barber","BYU"
"1043","Anyssa","Barbosa","Okla. Panhandle"
"1044","Jaime","Barbour","Longwood"
"1045","Nikki","Barboza","Sacramento St."
"1046","Alejandra","Barcenas","N.C. A&T"
"1047","Dana","Barclay","Massachusetts"
"1048","Jordan","Barcus","Col. of Charleston"
"1049","Hannah","Bardeen","Buffalo"
"1050","Christina","Bardwell","Texas"
"1051","Colleen","Bare","Central Ark."
"1052","Cassandra","Barefield","Northwestern St."
"1053","Georgeanna","Barefoot","Campbell"
"1054","Georgeanna","Barefoot","Charlotte"
"1055","Laine","Barefoot","Lipscomb"
"1056","Alyssa","Barela","New Mexico St."
"1057","Alyssa","Barela","Evansville"
"1058","Brooke","Barfield","Georgia Tech"
"1059","Meaghan","Barfield","Norfolk St."
"1060","Shelby","Barfield","Ga. Southern"
"1061","Erin","Barg","Western Mich."
"1062","Reah","Barger","Gardner-Webb"
"1063","Britnea","Barilli","UT Arlington"
"1064","Carley","Barjaktarovich","Lehigh"
"1065","Darcy","Barkauskas","Western Mich."
"1066","Abby","Barker","Elon"
"1067","Ashley","Barker","Valparaiso"
"1068","Josie","Barker","Carroll (MT)"
"1069","Lauryn","Barker","UNLV"
"1070","Rachel","Barker","Jackson St."
"1071","Sarah","Barker","North Texas"
"1072","Sarah","Barker","Houston"
"1073","Sydney","Barker","UMass Lowell"
"1074","Kelly","Barkevich","UAlbany"
"1075","Joey","Barkhimer","N.C. A&T"
"1076","Alexis","Barkwell","Utah Tech"
"1077","Erica","Barley","Bryant"
"1078","Adriana","Barlow","Miami (OH)"
"1079","Breanna","Barlow","South Alabama"
"1080","Brooke","Barlow","UCF"
"1081","Rodjahnae","Barlow","Grambling"
"1082","Amanda","Barna","Bradley"
"1083","Addison","Barnard","Wichita St."
"1084","Alana","Barnard","Ga. Southern"
"1085","Brooke","Barnard","Ole Miss"
"1086","Kelsie","Barnard","Santa Clara"
"1087","Kylie","Barnard","UC-Colo. Springs"
"1088","Mikayla","Barnard","Morgan St."
"1089","Mikayla","Barnard","Western Mich."
"1090","Abigail","Barnes","Alabama A&M"
"1091","Ashlyn","Barnes","Samford"
"1092","Bailie","Barnes","UAB"
"1093","Bella","Barnes","Central Ark."
"1094","Emma","Barnes","Belmont"
"1095","Isabelle","Barnes","Texas St."
"1096","Jordan","Barnes","IUPUI"
"1097","Macee","Barnes","Oklahoma St."
"1098","Macee","Barnes","Grand Canyon"
"1099","Madeline","Barnes","Saint Francis (PA)"
"1100","Makala","Barnes","Prairie View"
"1101","Mary pierce","Barnes","App State"
"1102","Max","Barnes","USC Upstate"
"1103","Maxine","Barnes","Syracuse"
"1104","Maya","Barnes","Prairie View"
"1105","Myranda","Barnes","Eastern Mich."
"1106","Sarah","Barnes","Boise St."
"1107","Sydni","Barnes","Northern Ky."
"1108","Taylor","Barnes","Virginia Tech"
"1109","Ashley","Barnett","Canisius"
"1110","Becca","Barnett","Drake"
"1111","Emily","Barnett","Samford"
"1112","Julia","Barnett","Cal Poly"
"1113","Kylie","Barnett","Albany St. (GA) <i> - Exhibition contest for this institution</i>"
"1114","Samantha","Barnett","UConn"
"1115","Sydney","Barnett","Loyola Chicago"
"1116","Aubree","Barney","Fordham"
"1117","Aubrey","Barnhart","Alabama"
"1118","Brianna","Barnhill","Abilene Christian"
"1119","Kelly","Barnhill","Florida"
"1120","Addison","Barnouski","Southeast Mo. St."
"1121","Vera","Barnwell","Penn"
"1122","Stephanie","Baro","Charleston So."
"1123","Katie","Baron","Monmouth"
"1124","Lindsey","Baron","Monmouth"
"1125","Bianca","Barone","NIU"
"1126","Haley","Baros","Sam Houston"
"1127","Jaylah","Barr","N.C. Central"
"1128","Jessica","Barr","Mississippi Val."
"1129","Makenzie","Barr","Ohio-Chillicothe"
"1130","Janae","Barracato","Seton Hall"
"1131","Elena","Barragan","Saint Mary's (CA)"
"1132","Gabrielle","Barranger","Hartford"
"1133","Nicolette","Barranger","Hartford"
"1134","Nicolette","Barranger","Delaware St."
"1135","Emily","Barras","Mercer"
"1136","Alanna","Barraza","Texas Tech"
"1137","Amye","Barre","ULM"
"1138","Alyssa","Barrera","Utah"
"1139","Dalilah","Barrera","Texas St."
"1140","Jordynn","Barrera","Marist"
"1141","Casey","Barrett","Virginia Tech"
"1142","Christina","Barrett","Warner Pacific"
"1143","Ellen","Barrett","Indiana St."
"1144","Ellen","Barrett","Morehead St."
"1145","Ellison","Barrett","Murray St."
"1146","Jorja","Barrett","Utah Valley"
"1147","Kai","Barrett","Cal Poly"
"1148","Kaitlyn","Barrett","NIU"
"1149","Kaylee","Barrett","Indiana St."
"1150","Kristyn","Barrett","NIU"
"1151","Raigan","Barrett","Liberty"
"1152","Allie","Barrick","Gardner-Webb"
"1153","Kori","Barrios","Utah Valley"
"1154","Rudi","Barrios","Weber St."
"1155","Barbara","Barron","USciences"
"1156","Kennedy","Barron","Duke"
"1157","Vanessa","Barron","Delaware St."
"1158","Vianna","Barron","Eastern Ky."
"1159","Alexis","Barroso","Michigan St."
"1160","Pearl","Barroso","DePaul"
"1161","Hayley","Barrow","Buffalo"
"1162","Kat","Barrow","Omaha"
"1163","Laura","Barrow","Nebraska"
"1164","Mia","Barrozo","Pacific (OR)"
"1165","Kaitlin","Barry","UC Santa Barbara"
"1166","Amerys","Barshtak","Harvard"
"1167","Jaime","Barta","North Dakota St."
"1168","Jaime","Barta","Syracuse"
"1169","Savannah","Bartay","Northwestern St."
"1170","Katie","Barter","Kentucky St."
"1171","Faith","Barth","Georgia"
"1172","Faith","Barth","Ga. Southern"
"1173","Paige","Barth","San Diego St."
"1174","Peyton","Barthel","Jacksonville St."
"1175","Dani","Barthoff","Utah Tech"
"1176","Emily","Bartholomew","Tennessee Tech"
"1177","Hayley","Bartholomew","Oakland"
"1178","Reagan","Bartholomew","Miami (OH)"
"1179","Brysen","Bartl","Langston"
"1180","Ashley","Bartlett","Eastern Ill."
"1181","Emily","Bartlett","Furman"
"1182","Kristen","Bartlett","Dayton"
"1183","Taylor","Bartlow","Robert Morris"
"1184","Cira","Bartolotti","Hawaii"
"1185","Kate","Bartolovich","Northern Ky."
"1186","Avery","Barton","Mercer"
"1187","Kathleen","Barton","App State"
"1188","Shaye","Barton","Indiana St."
"1189","Caitlin","Bartsch","Nebraska"
"1190","Brianna","Bartuccio","FIU"
"1191","Emma","Bartz","Northwestern"
"1192","Hailey","Bartz","Omaha"
"1193","Joanna","Bartz","Michigan St."
"1194","Christina","Bascara","La Salle"
"1195","Mason","Basdikis","Longwood"
"1196","Nicole","Basil","Merrimack"
"1197","Alannah","Basile","Seton Hall"
"1198","Katie","Basinger","Utah Valley"
