"","last_team","player_id","player","teams","seasons","first","last","...1","team_id","division"
"185","Southeast Mo. St.",70103,"Abby Tillotson","Southeast Mo. St.","2016+2017+2018","Abby","Tillotson",247,654,"D-I"
"186","South Alabama",70140,"Abby Tincher","South Alabama","2016","Abby","Tincher",241,646,"D-I"
"187","Auburn",70198,"Abby Tissier","Auburn","2018+2020+2021","Abby","Tissier",15,37,"D-I"
"188","Cleveland St.",70305,"Abby Tolstyka","Cleveland St.","2019","Abby","Tolstyka",52,148,"D-I"
"189","Bryant",70841,"Abby Trimble","Bryant","2022+2023","Abby","Trimble",30,81,"D-I"
"190","Illinois St.",71172,"Abby Turczyn","Illinois St.","2016+2017+2018","Abby","Turczyn",111,299,"D-I"
"191","Saint Louis",71461,"Abby Ulsas","Saint Louis","2024","Abby","Ulsas",228,609,"D-I"
"192","Kansas City",73732,"Abby Warkentine","Kansas City","2016+2017+2018","Abby","Warkentine",122,2707,"D-I"
"193","Monmouth",73746,"Abby Warner","Monmouth","2021+2022+2023+2024","Abby","Warner",164,439,"D-I"
"194","Virginia",74111,"Abby Weaver","Virginia","2021+2022+2023+2024","Abby","Weaver",312,746,"D-I"
"195","Boise St.",76117,"Abby Winckler","Boise St.","2019+2020","Abby","Winckler",24,66,"D-I"
"196","Seton Hall",76165,"Abby Wingo","Seton Hall","2020+2021+2022+2023","Abby","Wingo",239,635,"D-I"
"197","Longwood",77031,"Abby Wyatt","Longwood","2023","Abby","Wyatt",139,363,"D-I"
"198","North Florida",1786,"Abi Annett","North Florida","2021+2022+2023+2024","Abi","Annett",186,2711,"D-I"
"199","South Dakota",8180,"Abi Brown","South Dakota","2024","Abi","Brown",244,650,"D-I"
"200","Indiana St.",12200,"Abi Chipps","Indiana St.","2021+2022+2023+2024","Abi","Chipps",113,305,"D-I"
"201","Eastern Mich.",12570,"Abi Clark","Eastern Mich.","2016","Abi","Clark",75,204,"D-I"
"202","Baylor",22525,"Abi Flores","Baylor","2024","Abi","Flores",19,51,"D-I"
"203","UT Arlington",28075,"Abi Gutierrez","UT Arlington","2024","Abi","Gutierrez",299,702,"D-I"
"204","Belmont",40152,"Abi Ledbetter","Belmont","2020+2021+2022+2023+2024","Abi","Ledbetter",21,14927,"D-I"
"205","Chattanooga",55189,"Abi Pikas","Chattanooga","2024","Abi","Pikas",48,693,"D-I"
"206","Eastern Ill.",66780,"Abi Stahlhut","Indiana + Eastern Ill.","2020+2021+2022","Abi","Stahlhut",73,201,"D-I"
"207","Tennessee St.",67215,"Abi Stephens","Tennessee St.","2016+2017+2018","Abi","Stephens",266,691,"D-I"
"208","Clemson",68059,"Abi Stuart","Clemson","2020+2021+2022+2023+2024","Abi","Stuart",51,147,"D-I"
"209","Penn",130,"Abigail Abramson","Penn","2018+2019+2020+2021","Abigail","Abramson",205,540,"D-I"
"210","Merrimack",1330,"Abigail Amato","Merrimack","2020+2021+2018+2019","Abigail","Amato",154,410,"D-I"
"211","Virginia",3396,"Abigail Barber","Virginia","2019+2020+2021+2022","Abigail","Barber",312,746,"D-I"
"212","FIU",8182,"Abigail Brown","FIU","2021+2022+2023+2024","Abigail","Brown",80,231,"D-I"
"213","Santa Clara",11930,"Abigail Charpentier","Santa Clara","2022+2023+2024","Abigail","Charpentier",237,631,"D-I"
"214","North Ala.",14809,"Abigail Crane","North Ala.","2020","Abigail","Crane",182,487,"D-I"
"215","Western Caro.",15968,"Abigail Daniels","Western Caro.","2016+2017+2018","Abigail","Daniels",317,769,"D-I"
"216","Samford",18601,"Abigail Dorsett","Samford","2021+2022+2023+2024","Abigail","Dorsett",232,625,"D-I"
"217","Marshall",20873,"Abigail Estrada","Marshall","2016+2017+2018+2019","Abigail","Estrada",148,388,"D-I"
"218","Tex. A&M-Commerce",24886,"Abigail Gatlin","Tex. A&M-Commerce","2019+2021","Abigail","Gatlin",268,199,"D-I"
"219","Kennesaw St.",27116,"Abigail Green","Kennesaw St.","2017+2018","Abigail","Green",124,1157,"D-I"
"220","UTSA",29776,"Abigail Haston","UTSA","2018+2019","Abigail","Haston",303,706,"D-I"
"221","Charlotte",37745,"Abigail Knight","Boston College + Charlotte","2020+2022+2023+2024","Abigail","Knight",47,458,"D-I"
"222","UT Martin",38640,"Abigail Kubin","UT Martin","2022","Abigail","Kubin",300,695,"D-I"
"223","UT Arlington",46031,"Abigail Mckeown","UT Arlington","2020","Abigail","Mckeown",299,702,"D-I"
"224","Memphis",48888,"Abigail Morgan","Fla. Atlantic + Memphis","2019+2020+2021+2022+2024","Abigail","Morgan",152,404,"D-I"
"225","Central Mich.",50911,"Abigail Niehaus","Central Mich.","2018+2019+2020+2021","Abigail","Niehaus",45,129,"D-I"
"226","USC Upstate",55328,"Abigail Pippen","USC Upstate","2024","Abigail","Pippen",298,10411,"D-I"
"227","Morehead St.",58356,"Abigail Rhodes","Morehead St.","2016+2017+2018","Abigail","Rhodes",166,444,"D-I"
"228","Southeast Mo. St.",58625,"Abigail Rickermann","Southeast Mo. St.","2021+2022+2023+2024","Abigail","Rickermann",247,654,"D-I"
"229","Weber St.",61233,"Abigail Sagert","Weber St.","2020+2021+2022","Abigail","Sagert",316,758,"D-I"
"230","LSU",62147,"Abigail Savoy","LSU","2023+2024","Abigail","Savoy",129,365,"D-I"
"231","Akron",62416,"Abigail Scheller","Akron","2023+2024","Abigail","Scheller",3,5,"D-I"
"232","St. Bonaventure",67660,"Abigail Stone","St. Bonaventure","2019+2020+2021","Abigail","Stone",254,596,"D-I"
"233","Saint Joseph's",68007,"Abigail Stroud","Saint Joseph's","2016+2017","Abigail","Stroud",227,606,"D-I"
"234","Marshall",70274,"Abigail Tolbert","Marshall","2016+2017+2018+2019","Abigail","Tolbert",148,388,"D-I"
"235","Bradley",71357,"Abigail Tyler","Bradley","2020+2021+2022+2023","Abigail","Tyler",28,72,"D-I"
"236","East Carolina",71475,"Abigail Umphlett","East Carolina","2017+2018+2019+2020","Abigail","Umphlett",72,196,"D-I"
