"","team","player_id","season","player","ip","ha","bb","hb","so","hr_a","era","opp_avg","whip","fip"
"205","Total",1057,"","Lauran Allbritton",19.2,18,15,3,16,0,3.587,0.233,1.831,3.523
"206","Total",1063,"","Natalie Alldred",61.2,83,51,10,32,17,7.413,0.29,2.335,7.93
"207","Total",1065,"","Maisy Alldredge",27,51,48,8,10,2,14.259,0.395,3.963,8.844
"208","Total",1069,"","Jade Allee",145.1,220,37,6,60,25,5.394,0.327,1.81,4.698
"209","Total",1075,"","Abby Allen",50.2,70,57,30,20,3,7.726,0.285,3.099,7.521
"210","Total",1081,"","Ashley Allen",32.1,34,12,6,12,1,2.817,0.231,1.608,3.731
"211","Total",1087,"","Bailey Allen",106,119,32,11,46,8,2.519,0.266,1.528,3.736
"212","Total",1088,"","Beija Allen",2,2,0,0,1,0,0,0.25,1,1.4
"213","Total",1091,"","Breanna Allen",92,141,37,6,29,1,4.872,0.319,2,3.314
"214","Total",1107,"","Danner Allen",21,12,9,0,27,3,2.019,0.15,1,2.977
"215","Total",1112,"","Elizabeth Allen",4,8,2,0,2,0,8.75,0.381,2.5,2.9
"216","Total",1127,"","Julia Allen",152.1,148,101,3,91,12,3.549,0.239,1.654,4.3
"217","Total",1133,"","Kaylee Allen",181.2,239,72,27,100,38,5.598,0.295,1.861,5.66
"218","Total",1134,"","Kayleigh Allen",6.1,8,6,0,6,1,6.562,0.25,2.211,5.369
"219","Total",1140,"","Lauren Allen",22.1,35,8,2,7,0,4.998,0.329,2.015,3.114
"220","Total",1141,"","Leah Allen",201,311,66,2,94,15,4.461,0.329,1.886,3.451
"221","Total",1143,"","Lexie Allen",152,213,88,21,76,11,5.618,0.31,2.118,4.492
"222","Total",1151,"","Mallory Allen",41.2,88,16,0,15,4,8.096,0.404,2.496,4.087
"223","Total",1154,"","Meagan Allen",81.2,90,49,7,62,5,4.208,0.252,1.788,3.735
"224","Total",1161,"","Rachel Allen",212,255,73,15,172,13,3.668,0.279,1.618,2.82
