"","team","player_id","season","player","ip","ha","bb","hb","so","hr_a","era","opp_avg","whip","fip"
"12023","Total",61670,"","Geneva Pollman",40.1,42,27,0,27,2,4.168,0.248,1.711,3.714
"12024","Total",61671,"","Amanda Pollock",46,76,52,5,12,2,7.563,0.329,2.891,6.116
"12025","Total",61673,"","Caitlyn Pollock",86,164,31,10,32,6,6.759,0.361,2.384,3.995
"12026","Total",61675,"","Katie Pollock",58.1,91,13,4,54,3,5.403,0.338,1.851,2.091
"12027","Total",61684,"","Brianna Polly",30,80,40,3,2,4,15.709,0.459,4.1,8.336
"12028","Total",61711,"","Angelica Ponce",10.2,20,3,1,3,1,7.264,0.364,2.25,4.192
"12029","Total",61713,"","Elisa Ponce",221.1,224,66,17,155,14,2.847,0.244,1.387,2.947
"12030","Total",61715,"","Jamie Ponce",74.1,100,30,9,28,3,4.341,0.29,1.87,3.745
"12031","Total",61719,"","Rayna Ponce",27.2,24,6,1,11,0,1.018,0.22,1.12,2.364
"12032","Total",61721,"","Alina Ponce de leon",2,3,2,0,0,0,7,0.333,2.5,5.4
"12033","Total",61735,"","Lorrin Pondo",428.2,386,144,31,455,19,2.076,0.229,1.309,2.079
"12034","Total",61738,"","Cameron Ponich",33.1,54,27,5,17,4,5.916,0.339,2.58,5.839
"12035","Total",61739,"","Vivian Ponn",88,125,29,13,24,18,4.76,0.29,1.898,5.944
"12036","Total",61740,"","Abby Pons",23.1,41,4,3,4,0,2.405,0.354,2.057,2.958
"12037","Total",61746,"","Sydney Ponto",222.2,163,94,12,269,11,1.793,0.195,1.208,2.054
"12038","Total",61747,"","Frankie Ponziani",53.2,70,19,6,16,1,3.271,0.3,1.77,3.447
"12039","Total",61750,"","Maddie Pool",26.1,19,29,2,27,1,2.652,0.183,1.899,4.37
"12040","Total",61765,"","Sydney Poole",94,96,22,3,49,6,2.013,0.244,1.287,2.986
"12041","Total",61778,"","Charlize Pope",94,130,38,4,66,5,4.639,0.307,1.83,3.03
"12042","Total",61779,"","Jana Pope",21.1,39,17,4,18,2,6.899,0.34,2.812,4.911
"12043","Total",61794,"","Tori Poplaski",51.1,85,46,17,48,3,7.354,0.333,2.883,4.968
"12044","Total",61798,"","Jordan Popowski",17.1,31,20,4,6,2,10.64,0.273,3.173,7.407
"12045","Total",61799,"","Emily Popp",269.2,391,68,9,199,24,4.727,0.312,1.735,2.938
"12046","Total",61800,"","Claire Poppe",64.2,81,27,0,31,6,4.45,0.277,1.67,3.904
"12047","Total",61803,"","Autumn Poppett",119.1,142,76,8,89,8,4.929,0.275,1.894,3.895
"12048","Total",61808,"","Allie Porbansky",43.1,67,6,0,21,2,3.89,0.336,1.685,2.446
"12049","Total",61811,"","Mikayla Porcaro",1.1,1,3,0,0,0,5.385,0.167,3,9.323
"12050","Total",61836,"","Brooke Porter",60,96,26,7,18,4,5.268,0.328,2.15,4.323
"12051","Total",61838,"","Caroline Porter",9.1,12,8,0,10,0,4.468,0.255,2.143,2.826
"12052","Total",61849,"","Justyce Porter",116.1,121,41,6,81,6,2.114,0.244,1.444,2.893
"12053","Total",61852,"","Kayla Porter",50,51,16,0,14,8,3.507,0.245,1.34,4.885
"12054","Total",61854,"","Khala Porter",22.1,58,24,3,0,0,12.242,0.423,3.806,6.032
"12055","Total",61855,"","Krysta Porter",1,1,1,0,0,0,0,0.143,2,5.127
"12056","Total",61858,"","Lea Porter",1.1,6,5,0,0,0,43.077,0.5,8.25,13.938
"12057","Total",61865,"","Paige Porter",99,100,17,6,50,7,2.472,0.246,1.242,3.005
"12058","Total",61883,"","MacKinley Portillo",40.1,41,25,2,31,4,4.179,0.253,1.686,4.166
"12059","Total",61883,"","Mackinley Portillo",31.1,37,21,2,25,3,5.127,0.261,1.915,4.247
"12060","Total",61884,"","Mia Portillo",5,4,5,1,7,0,1.373,0.19,2,3.184
"12061","Total",61885,"","Samantha Portillo",192,180,87,8,143,14,3.36,0.232,1.432,3.345
"12062","Total",61893,"","Vanessa Porto",38.1,82,18,2,10,3,8.391,0.41,2.661,4.462
"12063","Total",61895,"","Baylee Ports",258.1,338,82,28,166,31,4.772,0.292,1.734,3.953
"12064","Total",61899,"","Holly Posegate",108.2,126,30,4,48,5,3.344,0.264,1.472,3.052
"12065","Total",61908,"","Chloe Poss",69,56,31,5,71,6,2.536,0.207,1.333,3.038
"12066","Total",61915,"","Mayson Post",53.1,70,19,3,16,0,5.271,0.29,1.725,3.04
"12067","Total",61918,"","Haley Postell",8,15,5,2,3,1,5.195,0.307,2.75,5.695
"12068","Total",61921,"","Madison Postier",0.1,2,0,0,1,0,0,0.4,6,-7.6
"12069","Total",61927,"","Alyssa Poston",229,184,35,30,232,21,2.202,0.205,1.087,2.418
"12070","Total",61928,"","Jennifer Poston",37.2,54,31,5,25,5,7.062,0.298,2.389,5.672
"12071","Total",61929,"","Madison Poston",66.2,197,11,4,35,9,11.124,0.484,3.18,3.779
"12072","Total",61931,"","Reese Poston",3.1,7,5,1,1,0,8.75,0.467,3.9,7.4
"12073","Total",61939,"","Anya Pothorski",54,116,90,11,46,3,12.266,0.394,4.019,7.007
"12074","Total",61960,"","Lily Potter",19.1,35,9,1,13,7,9.03,0.338,2.328,7.31
"12075","Total",61963,"","Marisa Potter",5.1,14,6,4,3,1,19.811,0.452,4.5,9.381
"12076","Total",61964,"","Megan Potter",648.2,523,54,9,841,26,1.685,0.206,0.903,0.619
"12077","Total",61973,"","Caitlyn Potts",25.1,41,13,0,2,7,6.063,0.336,2.132,7.361
"12078","Total",61977,"","Kendall Potts",196,213,102,16,127,22,3.573,0.26,1.689,4.37
"12079","Total",61978,"","Maddie Potts",17.2,19,10,0,9,0,4.4,0.244,1.642,3.086
"12080","Total",61980,"","Sami Potvin",23,30,10,5,16,7,5.197,0.283,1.957,6.941
"12081","Total",61991,"","Stefanie Poulin",44.2,64,12,4,21,1,5.324,0.305,1.791,2.825
"12082","Total",61995,"","Tori Poullard",0.1,3,0,0,1,0,70,0.6,9,-7.6
"12083","Total",62006,"","Mikayla Pourby",177,204,68,20,116,4,3.328,0.27,1.65,2.879
"12084","Total",62008,"","Kohana Poussan",167,246,57,8,63,11,4.487,0.315,1.862,3.669
"12085","Total",62011,"","Alexa Powell",86.1,139,47,1,37,8,6.001,0.33,2.166,4.418
"12086","Total",62014,"","Autumn Powell",41.1,61,32,1,41,1,5.461,0.308,2.274,3.132
"12087","Total",62017,"","Bailey Powell",63,81,53,8,15,7,4.227,0.283,2.254,6.275
"12088","Total",62021,"","Caleigh Powell",1,1,2,2,1,1,14,0.25,5,25.4
"12089","Total",62023,"","Cassie Powell",18.2,22,12,3,6,1,4.108,0.263,1.982,5.069
"12090","Total",62025,"","Cheyene Powell",81.2,100,44,12,28,13,4.022,0.274,1.91,5.835
"12091","Total",62030,"","Elizabeth Powell",6,10,5,0,0,1,9.333,0.303,2.5,7.067
"12092","Total",62032,"","Emma Powell",1.1,3,1,2,0,0,11.667,0.429,4.5,9.9
"12093","Total",62046,"","Kamielle Powell",251,320,107,13,108,10,3.904,0.285,1.753,3.491
"12094","Total",62055,"","Lauren Powell",384,446,140,63,288,26,4.648,0.265,1.69,3.365
"12095","Total",62056,"","Leah Powell",254.1,287,140,13,150,33,3.909,0.261,1.73,4.712
"12096","Total",62059,"","Lindsay Powell",1,0,0,0,0,0,0,0,0,2.4
"12097","Total",62065,"","Marisa Powell",35,50,17,8,19,5,7.184,0.294,2.143,5.307
"12098","Total",62067,"","Megan Powell",487.1,382,326,38,510,46,2.974,0.202,1.531,3.775
"12099","Total",62069,"","Morgan Powell",274,367,192,22,205,38,5.98,0.294,2.12,5.05
"12100","Total",62071,"","Shannon Powell",334.1,378,88,18,151,17,2.889,0.263,1.448,3.109
"12101","Total",62072,"","Sydney Powell",100.1,140,28,0,29,15,4.754,0.307,1.674,4.604
"12102","Total",62079,"","Ally Power",419.2,522,131,35,299,36,4.037,0.284,1.639,3.277
"12103","Total",62095,"","Erin Powers",210,305,99,18,92,22,4.695,0.313,2.01,4.555
"12104","Total",62101,"","Kate Powers",287.1,263,130,14,176,24,2.83,0.225,1.416,3.767
"12105","Total",62116,"","Kayla Poynter",258.1,261,131,25,199,36,3.287,0.246,1.614,4.489
"12106","Total",62119,"","Jenna Pozezinski",57.2,91,19,5,34,2,4.132,0.326,1.994,2.921
"12107","Total",62133,"","Emma Prahin",29.1,37,26,3,26,0,4.075,0.285,2.25,3.599
"12108","Total",62145,"","Jeya Prasad",106.1,102,69,17,92,14,5.262,0.226,1.768,4.806
"12109","Total",62146,"","Devika Prashad",35.1,51,75,10,3,3,12.424,0.305,3.849,10.651
"12110","Total",62148,"","Addy Prasifka",60.2,95,25,6,34,5,5.095,0.308,2.077,3.89
"12111","Total",62158,"","Delaney Prather",2,6,1,0,1,0,3.333,0.429,3.5,2.876
"12112","Total",62163,"","Olivia Prather",172.1,218,57,16,82,22,3.492,0.284,1.689,4.376
"12113","Total",62165,"","Abbey Pratt",282,330,115,29,202,29,3.749,0.274,1.681,3.837
"12114","Total",62166,"","Alaijah Pratt",179.2,249,29,11,105,10,4.359,0.306,1.609,2.622
"12115","Total",62168,"","Alexis Pratt",2,3,0,2,1,0,3.5,0.3,2.5,4.4
"12116","Total",62172,"","Brianna Pratt",689,682,203,37,638,46,2.916,0.242,1.338,2.461
"12117","Total",62173,"","Calli Pratt",101.2,118,61,12,119,5,4.412,0.262,1.879,2.851
"12118","Total",62176,"","Delaney Pratt",2,1,0,0,1,0,0,0.166,0.5,1.4
"12119","Total",62177,"","Emily Pratt",74.2,121,34,3,47,12,6.568,0.34,2.116,4.72
"12120","Total",62179,"","Issie Pratt",24.1,39,14,2,10,2,5.738,0.336,2.26,4.613
"12121","Total",62183,"","Lucy Pratt",7.2,17,9,3,8,1,11.053,0.395,3.783,6.742
"12122","Total",62188,"","Paisley Pratt",21,24,18,5,17,1,4.37,0.242,2.238,4.707
"12123","Total",62194,"","Abby grace Praytor",2.1,2,1,1,2,0,0,0.182,1.714,3.309
"12124","Total",62199,"","Hailey Prechtel",114.1,162,65,10,55,3,5.888,0.301,2.073,3.75
"12125","Total",62207,"","Zoe Precup",2,4,0,0,0,0,7,0.416,2,2.4
"12126","Total",62209,"","Cassidy Predale",13.2,26,17,2,15,1,9.779,0.347,3.293,5.341
"12127","Total",62212,"","Mckenna Prefach",5.1,5,5,0,7,0,1.312,0.204,1.875,2.611
"12128","Total",62213,"","Kayla Preisler",294,584,92,16,129,28,7.475,0.394,2.354,3.863
"12129","Total",62214,"","Kaitlyn Preiss",8.2,25,10,2,1,2,16.279,0.446,4.269,9.377
"12130","Total",62216,"","Stephanie Prentice",1,1,4,0,2,0,14,0.25,5,10.4
"12131","Total",62217,"","Anne marie Prentiss",110.2,145,37,9,67,16,4.374,0.283,1.726,4.319
"12132","Total",62222,"","Abby Prescott",21.2,36,9,1,12,1,5.858,0.289,2.123,3.285
"12133","Total",62241,"","Elizabeth Press",46.1,40,22,2,52,1,2.263,0.217,1.381,1.991
"12134","Total",62245,"","Cristi Pressley",54,71,30,2,28,2,3.908,0.287,1.907,3.628
"12135","Total",62249,"","Lindsay Pressman",77.2,105,41,3,37,3,3.699,0.281,1.918,3.65
"12136","Total",62251,"","Kennedy Presson",105.2,173,68,10,81,3,5.906,0.338,2.375,3.451
"12137","Total",62253,"","Alyssa Prest",28.1,38,13,6,22,1,4.471,0.292,2.012,3.32
"12138","Total",62256,"","Juliana Presto",424.1,351,207,34,562,20,2.755,0.208,1.395,2.067
"12139","Total",62257,"","Alexas Presto-ahsing",4.1,8,6,2,0,0,13.333,0.364,3.692,8.114
"12140","Total",62263,"","Grace Preston",110.1,156,53,20,26,7,5.515,0.314,2.076,4.737
"12141","Total",62266,"","Madison Preston",180.2,173,99,23,191,10,3.186,0.232,1.633,3.032
"12142","Total",62271,"","Stella Preston",291,261,84,33,197,48,3.2,0.225,1.299,4.397
"12143","Total",62272,"","Sydney Preston",14.1,20,10,3,7,2,5.872,0.268,2.302,5.975
"12144","Total",62285,"","Dominique Prevette",25.1,37,33,3,9,12,9.696,0.319,2.882,12.146
"12145","Total",62287,"","Elaina Previty",8,15,2,0,1,0,9.625,0.385,2.125,2.9
"12146","Total",62289,"","Karoline Prevost",23.1,38,15,3,6,4,4.487,0.336,2.4,6.417
"12147","Total",62298,"","Abigail Price",1,8,0,0,1,0,25.455,0.727,8,0.582
"12148","Total",62300,"","Alexis Price",93.2,167,30,9,22,10,5.442,0.359,2.199,4.56
"12149","Total",62308,"","Cheyenne Price",33.2,28,48,8,20,0,5.401,0.203,2.495,6.198
"12150","Total",62309,"","Corah Price",217.1,232,56,12,146,38,3.861,0.252,1.38,4.267
"12151","Total",62311,"","Ellie Price",73.2,115,29,3,26,8,5.644,0.315,1.995,4.421
"12152","Total",62313,"","Emily Price",318,417,112,34,273,12,4.295,0.284,1.77,2.551
"12153","Total",62315,"","Hannah Price",340.1,385,124,26,256,16,3.543,0.266,1.572,2.829
"12154","Total",62316,"","Heidi Price",90.2,145,46,1,47,4,6.244,0.318,2.118,3.49
"12155","Total",62321,"","Kat Price",121.1,228,37,4,16,8,5.945,0.36,2.217,4.01
"12156","Total",62322,"","Katie Price",373,453,81,17,254,29,3.552,0.275,1.477,2.837
"12157","Total",62323,"","Kayla Price",303,361,110,52,167,15,3.509,0.274,1.726,3.545
"12158","Total",62335,"","Olivia Price",384,423,121,42,230,18,3.317,0.257,1.526,3.084
"12159","Total",62337,"","Payten Price",109.1,140,56,4,84,8,3.839,0.294,1.829,3.46
"12160","Total",62338,"","Riley Price",294.2,321,78,20,169,20,2.64,0.258,1.422,3.134
"12161","Total",62339,"","Rozlyn Price",255,327,142,28,140,38,4.702,0.296,1.949,5.244
"12162","Total",62353,"","Kelly Prichard",90.2,135,38,4,56,7,3.701,0.309,1.952,3.557
"12163","Total",62354,"","Quincy Prichard",5.1,7,3,0,5,0,4.038,0.28,1.875,2.208
"12164","Total",62358,"","Madison Prickett",275.2,265,156,24,247,19,3.711,0.229,1.614,3.463
"12165","Total",62362,"","Dystine Priebe",17.2,34,7,0,14,0,9.2,0.378,2.321,2
"12166","Total",62364,"","Andie Priest",78.1,118,63,6,44,7,6.357,0.309,2.387,5.088
"12167","Total",62369,"","Maria Priest",132.1,176,46,7,60,16,4.444,0.294,1.73,4.267
"12168","Total",62373,"","Dani Priester",2,6,4,0,1,0,3.333,0.429,5,7.162
"12169","Total",62375,"","Cheyenne Prieto",132,136,74,11,69,19,4.14,0.246,1.674,5.16
"12170","Total",62381,"","Lauren Prigge",48.2,48,19,5,30,2,2.593,0.246,1.479,3.182
"12171","Total",62384,"","Sydney Prigge",2.1,2,2,0,1,0,3.182,0.2,1.714,4.218
"12172","Total",62391,"","Abbey Primavera",124,146,27,3,64,8,3.046,0.276,1.419,2.932
"12173","Total",62409,"","Meagan Prince",191.1,154,81,27,175,7,2.087,0.207,1.369,2.74
"12174","Total",62414,"","Sydnie Prince",2.1,2,0,0,0,0,0,0.2,0.857,2.4
"12175","Total",62419,"","Olivia Printiss",51,68,30,5,36,3,5.078,0.3,2.02,3.812
"12176","Total",62426,"","Madison Prior",1,2,1,0,2,0,0,0.286,3,1.4
"12177","Total",62428,"","Payton Prissel",35.2,52,20,5,23,2,5.112,0.302,2.159,3.945
"12178","Total",62430,"","Allison Pritchard",17.2,30,21,1,9,2,9.148,0.37,2.943,6.605
"12179","Total",62431,"","Christa Pritchard",30.2,34,16,4,15,1,2.745,0.262,1.761,3.805
"12180","Total",62435,"","Maddy Pritchard",43.2,50,16,2,34,1,2.092,0.262,1.557,2.377
"12181","Total",62436,"","Rachel Pritchard",272.1,363,112,22,109,25,4.373,0.3,1.825,4.27
"12182","Total",62437,"","Sarah Pritchard",217.1,285,29,2,90,9,3.448,0.293,1.454,2.538
"12183","Total",62451,"","Sarah Probasco",91.1,128,33,6,72,13,4.365,0.292,1.828,3.953
"12184","Total",62457,"","Brittany Prock",35.2,62,12,1,20,2,6.113,0.339,2.103,3.104
"12185","Total",62458,"","Danielle Procopio",1,0,4,0,0,0,6.364,0,4,13.309
"12186","Total",62460,"","Shelley Procter",3.1,13,8,0,2,0,23.333,0.542,6.3,8.461
"12187","Total",62463,"","Connor Proctor",143.2,194,37,13,77,16,4.39,0.291,1.698,3.822
"12188","Total",62466,"","Jordan Proctor",141.2,287,56,47,36,21,8.766,0.378,2.753,6.014
"12189","Total",62476,"","Taylor Proctor",26.2,50,16,3,6,2,5.811,0.36,2.587,5.079
"12190","Total",62485,"","Kate Proffitt",5,7,2,0,4,2,2.745,0.304,1.8,7.106
"12191","Total",62491,"","Marissa Promes",183.1,220,71,27,90,12,3.858,0.273,1.735,3.874
"12192","Total",62493,"","Erica Pronschinske",138.1,175,78,8,57,9,4.252,0.294,1.887,4.287
"12193","Total",62495,"","Kathryn Proper",296.2,319,103,7,230,11,2.832,0.263,1.446,2.444
"12194","Total",62499,"","Peyton Propp",159.1,197,183,25,124,24,6.471,0.285,2.542,6.726
"12195","Total",62502,"","Jordyn Propst",136.1,177,62,3,40,9,4.821,0.287,1.775,4.099
"12196","Total",62510,"","Maddy Prough",197.1,219,84,12,173,21,3.768,0.259,1.596,3.492
"12197","Total",62517,"","Marina Provencio",44,67,27,12,30,4,6.665,0.319,2.409,4.876
"12198","Total",62525,"","Cassidy Prucha",19.2,34,6,2,8,1,7.906,0.339,2.136,3.48
"12199","Total",62528,"","Alexa Prue",13,29,7,0,6,3,12.385,0.408,2.769,6.092
"12200","Total",62532,"","Kirsten Pruett",28.2,49,28,2,19,9,9.934,0.33,2.756,8.417
"12201","Total",62534,"","Harley Pruetting",190.2,184,64,11,163,15,2.684,0.231,1.358,2.894
"12202","Total",62546,"","Natalie Pruitt",101.2,130,32,3,59,16,3.586,0.295,1.623,4.321
"12203","Total",62554,"","Ragin Prunty",81.1,158,57,11,10,9,9.224,0.385,2.779,6.107
"12204","Total",62557,"","Rebecca Pruss",244,369,75,26,75,13,5.109,0.324,1.926,3.721
"12205","Total",62558,"","Jordyne Prussak",157,208,102,11,57,10,4.724,0.296,2.045,4.659
"12206","Total",62559,"","Jordan Prutzer",54.2,63,20,10,38,1,4.752,0.267,1.701,2.895
"12207","Total",62562,"","Arianna Prymak",126.1,190,24,2,62,9,3.894,0.323,1.71,2.963
"12208","Total",62570,"","Zoe Prystajko",53,43,21,11,36,9,3.83,0.205,1.415,5.06
"12209","Total",62571,"","Megan Przeslawski",171.2,225,80,18,66,28,5.221,0.304,1.882,5.467
"12210","Total",62587,"","Haley Pucci",90,121,85,21,56,4,7.468,0.295,2.522,5.266
"12211","Total",62589,"","Kim Puccio",226.1,269,72,13,126,30,3.775,0.276,1.564,4.137
"12212","Total",62590,"","Natalia Puchino",354.1,298,136,23,284,34,2.788,0.214,1.29,3.391
"12213","Total",62603,"","Mackenzie Puckett",204.1,301,148,19,118,24,6.424,0.317,2.29,5.232
"12214","Total",62614,"","Hazel Puempel",1,1,1,1,1,0,0,0.167,3,6.036
"12215","Total",62618,"","Claudia Puente",2.1,2,2,2,1,0,5.833,0.143,2.571,6.567
"12216","Total",62629,"","Eden Pufahl",27,31,10,2,11,1,2.09,0.266,1.593,3.408
"12217","Total",62634,"","Taylor Puga",51,91,32,4,17,2,6.321,0.354,2.49,4.374
"12218","Total",62635,"","Chesleigh Pugh",12.2,20,13,4,9,0,6.667,0.303,2.921,5.019
"12219","Total",62645,"","Ashley Pugliese",151.2,146,70,3,97,2,3.14,0.241,1.444,2.737
"12220","Total",62660,"","Amanda Pulice",76,162,17,4,16,7,7.022,0.391,2.408,4.011
"12221","Total",62666,"","Akirra Pullen",191,254,49,18,99,10,3.846,0.294,1.681,3.096
"12222","Total",62672,"","Abby Pulliam",74.2,94,36,4,48,7,5.52,0.289,1.795,3.936
"12223","Total",62685,"","Megan Pung",34.2,71,34,7,8,1,9.509,0.386,3.231,5.868
"12224","Total",62690,"","Kali Puppolo",77,96,58,15,61,10,5.259,0.268,2.195,5.342
"12225","Total",62691,"","Madi Puppolo",31.1,53,8,4,22,0,4.681,0.328,2.074,2.145
"12226","Total",62692,"","Madison Puppolo",82.1,101,15,6,41,5,3.398,0.286,1.482,2.958
"12227","Total",62699,"","Chantel Purcella",214.2,243,66,15,133,31,3.755,0.264,1.509,4.173
"12228","Total",62702,"","Isabella Purdy",38,35,25,8,26,0,3.314,0.227,1.789,3.629
"12229","Total",62718,"","Jamie Purtell",92,159,28,1,26,6,4.421,0.326,2.043,3.629
"12230","Total",62719,"","Nicole Purtell",30.1,40,7,2,13,2,2.981,0.285,1.615,3.297
"12231","Total",62721,"","Addison Purvis",47,52,23,6,35,2,2.986,0.249,1.723,3.318
"12232","Total",62723,"","Annie Purvis",19.1,25,21,1,13,2,5.44,0.25,2.431,5.82
"12233","Total",62724,"","Aubrey Purvis",10,8,4,1,5,0,2.1,0.222,1.3,2.9
"12234","Total",62726,"","Rylee Purvis",1.1,4,0,0,0,0,5.833,0.444,3,2.4
"12235","Total",62735,"","Grace Pustina",184,319,106,14,94,21,7.26,0.351,2.386,4.817
"12236","Total",62745,"","Annabella Putnam",186.2,292,106,28,148,9,6.639,0.318,2.282,3.597
"12237","Total",62750,"","Emerson Puzey",13.2,7,9,2,14,1,1.031,0.142,1.317,3.729
"12238","Total",62755,"","Ashley Pye",186,240,127,31,87,13,5.36,0.282,2.14,4.929
"12239","Total",62756,"","Cherica Pye",212.1,263,128,33,105,24,5.519,0.275,1.997,5.162
"12240","Total",62774,"","Jezabelle Qu",9,20,10,4,9,0,14.318,0.385,3.778,5.127
"12241","Total",62775,"","Erika Quackenbush",24,36,27,2,8,1,7.067,0.309,2.708,5.929
"12242","Total",62777,"","Keira Quadros",87.1,63,12,0,63,4,1.522,0.189,0.859,1.965
"12243","Total",62778,"","Ellie Quaethem",433,351,87,10,509,27,1.971,0.207,1.035,1.532
"12244","Total",62779,"","Kaite Quagliana",184.1,222,49,8,75,6,3.273,0.277,1.514,2.938
"12245","Total",62782,"","Tatum Quaker",54,59,16,3,52,3,3.117,0.255,1.444,2.252
"12246","Total",62785,"","Julia Qualteri",209.1,317,102,13,108,22,5.883,0.322,2.064,4.381
"12247","Total",62799,"","Coreya Quarterman",82,110,52,10,50,5,5.982,0.3,2.098,4.244
"12248","Total",62804,"","Adriana Quealy",64.1,113,23,3,20,6,6.012,0.363,2.161,4.21
"12249","Total",62805,"","Andi Queen",245,391,40,18,99,15,4.979,0.335,1.833,3.099
"12250","Total",62812,"","Trinity Queen",20.2,41,2,1,2,2,6.152,0.373,2.129,3.914
"12251","Total",62818,"","Lauren Quense",273,305,95,22,160,24,3.182,0.264,1.546,3.658
"12252","Total",62820,"","Olivia Quercia",31.1,37,21,1,17,1,2.9,0.262,1.883,3.84
"12253","Total",62827,"","Kayla Quesenberry",111.2,255,60,6,29,10,7.793,0.4,2.875,4.825
"12254","Total",62836,"","Natalie Quezada",48.2,89,16,3,11,4,4.6,0.371,2.219,4.186
"12255","Total",62852,"","Caitlyn Quickle",8.1,13,7,5,4,4,9.167,0.333,3,11.924
"12256","Total",62857,"","Allison Quigley",153.1,153,52,13,108,3,2.192,0.243,1.422,2.518
"12257","Total",62859,"","Katherine Quigley",63.1,119,25,4,16,2,6.089,0.35,2.337,3.681
"12258","Total",62869,"","Alexandra Quill",40.2,57,24,4,39,6,6.02,0.298,2.09,4.464
"12259","Total",62883,"","Alyson Quinlan",121,139,56,11,111,13,4.223,0.262,1.702,3.622
"12260","Total",62887,"","Mo Quinlan",103.2,113,118,39,87,9,7.612,0.25,2.605,6.422
"12261","Total",62897,"","Briana Quinn",137,205,76,16,60,11,5.261,0.304,2.168,4.582
"12262","Total",62902,"","Jordan Quinn",132,120,53,12,62,4,1.967,0.222,1.402,3.335
"12263","Total",62904,"","Kayla Quinn",8,8,11,0,3,1,2.625,0.25,2.375,7.4
"12264","Total",62905,"","Kenna Quinn",424.1,510,213,36,198,50,3.597,0.278,1.789,4.76
"12265","Total",62910,"","Meagan Quinn",66,130,33,1,22,11,7.864,0.381,2.485,5.452
"12266","Total",62915,"","Mason Quinnie",45.2,67,45,8,14,5,7.385,0.319,2.628,6.708
"12267","Total",62920,"","Gabriella Quinones",146,236,69,12,72,10,5.466,0.338,2.171,3.968
"12268","Total",62922,"","Hope Quinones",22,30,24,4,28,3,7.991,0.294,2.636,5.459
"12269","Total",62929,"","Carly Quint",203.2,201,54,11,213,9,2.889,0.238,1.306,1.84
"12270","Total",62933,"","Alyvia Quintana",81.1,131,25,9,17,12,5.776,0.344,2.029,5.159
"12271","Total",62937,"","Jezabelle Quintana",51,67,40,7,23,1,4.521,0.286,2.235,4.514
"12272","Total",62954,"","Emily Quintero",147.2,212,71,7,41,4,5.075,0.316,1.964,3.782
"12273","Total",62956,"","Marissa Quintero",85,74,27,22,58,3,1.982,0.219,1.447,3.227
"12274","Total",62965,"","Bailey Quire",41.1,83,21,1,35,1,8.452,0.384,2.54,2.617
"12275","Total",62968,"","Meghan Quirk",125.1,165,65,5,60,17,4.808,0.29,1.875,4.884
"12276","Total",62969,"","Riley Quirk",152,232,98,18,63,25,6.677,0.325,2.289,5.999
"12277","Total",62986,"","Sarah Raab",27,51,19,7,21,1,7.203,0.35,2.852,4.2
"12278","Total",62990,"","Lexie Raasch",36.2,49,28,2,16,9,5.537,0.304,2.155,7.178
"12279","Total",62991,"","Alexa Raba",16.2,27,25,3,2,2,10.482,0.308,3.3,8.729
"12280","Total",62993,"","Lauren Rabanal",19.2,40,19,1,5,2,11.071,0.377,3.051,6.278
"12281","Total",62996,"","Gracie Rabe",298.1,337,78,10,176,25,3.128,0.263,1.425,3.196
"12282","Total",62997,"","Maddie Rabe",176.1,164,77,11,94,15,2.463,0.231,1.429,3.938
"12283","Total",63001,"","Lexie Rabidue",8.1,10,3,0,3,0,3.333,0.263,1.56,2.757
"12284","Total",63005,"","Katie Rabuck",161.2,155,35,8,128,16,2.431,0.235,1.225,2.902
"12285","Total",63012,"","Shyanne Raccio",20,39,20,1,14,2,10.5,0.371,3,5.45
"12286","Total",63013,"","Addison Race",117.2,172,39,11,53,8,4.699,0.317,1.887,3.659
"12287","Total",63023,"","Kelsey Racine",71,85,23,3,27,4,4.139,0.269,1.563,3.471
"12288","Total",63025,"","Morgan Rackel",374,301,60,18,442,19,1.667,0.207,1.013,1.322
"12289","Total",63026,"","Morgan Rackish",94,103,30,3,58,8,2.69,0.254,1.447,3.33
"12290","Total",63042,"","Wynter Radcliffe",36.1,55,19,8,25,6,6.551,0.301,2.257,5.392
"12291","Total",63049,"","Presley Rader",1.1,3,1,0,0,0,0,0.375,3,4.9
"12292","Total",63050,"","Sydney Rader",424,362,106,35,419,25,2.063,0.216,1.186,2.188
"12293","Total",63055,"","Morgan Radford",83.2,116,47,15,54,12,5.288,0.304,2.127,5.206
"12294","Total",63065,"","Abby Radtke",3.2,8,3,1,1,0,7.212,0.409,3.273,6.4
"12295","Total",63071,"","Kristie Radvan",27,43,6,0,8,6,5.445,0.344,1.815,5.363
"12296","Total",63072,"","Tori Radvan",134.2,193,43,8,81,19,5.067,0.313,1.812,4.279
"12297","Total",63081,"","Katie Raeter",125,195,45,12,64,2,5.147,0.316,2.016,2.951
"12298","Total",63083,"","Delaney Raetz",2.1,4,0,0,0,0,3.182,0.333,1.714,2.4
"12299","Total",63089,"","Hannah Rafferty-Flatter",13.1,41,24,4,4,2,13.158,0.451,5.175,10.069
"12300","Total",63089,"","Hannah Rafferty-flatter",13.1,19,4,3,9,0,4.773,0.311,1.95,2.627
"12301","Total",63091,"","Abby Ragan",2.1,8,1,0,0,0,22.273,0.471,3.857,3.764
"12302","Total",63093,"","Madison Ragan",90,110,45,11,33,2,3.741,0.28,1.844,3.826
