"","team_id","player_id","season","player","ip","ha","bb","hb","so","hr_a","era","opp_avg","whip","fip"
"2508",305,27376,2023,"Hailey Griffin",39,40,16,8,25,7,"4.297",0.24,1.637,"5.290"
"2509",367,32197,2023,"Gabby Holloway",39,40,14,3,31,2,"3.402",0.235,1.458,"2.784"
"2510",385,36186,2023,"Rachel Kazmirski",39,40,40,6,30,0,"4.846",0.234,2.205,"4.400"
"2511",625,3031,2023,"Lainey Baker",39,56,16,2,34,5,"3.939",0.315,1.893,"3.704"
"2512",750,74176,2023,"Tarah Wehde",39,38,29,4,38,3,"4.297",0.23,1.816,"3.986"
"2513",1076,42805,2023,"Ally Maddy",39,57,11,2,9,3,"5.205",0.303,1.795,"3.938"
"2514",1355,21983,2023,"Kaedyn Filburn",39,67,42,0,11,0,"6.641",0.342,2.795,"5.067"
"2515",30114,69520,2023,"Jill Thomas",39,41,9,4,25,0,"5.371",0.253,1.381,"2.119"
"2516",114,30078,2023,"Zoe Hazelhoff",38.3,42,10,2,26,2,"2.159",0.244,1.388,"2.657"
"2517",446,57367,2023,"Emily Raubuch",38.3,51,5,2,29,5,"3.789",0.282,1.495,"3.122"
"2518",460,21060,2023,"Carrigan Ewers",38.3,54,14,3,28,4,"4.510",0.305,1.83,"3.611"
"2519",8965,31009,2023,"Lauren HerrNeckar",38.3,44,20,5,29,2,"2.699",0.247,1.774,"3.505"
"2520",17,22449,2023,"Ta’Niyah Fletcher",38.2,62,35,1,27,4,"6.150",0.325,2.532,"5.139"
"2521",223,8205,2023,"Braynka Brown",38.2,60,19,3,15,2,"6.364",0.343,2.13,"4.010"
"2522",549,32290,2023,"Emma Holt",38.2,48,14,9,39,2,"3.264",0.286,1.839,"2.840"
"2523",583,42333,2023,"Natalie Lundari",38.2,56,29,2,17,0,"5.440",0.322,2.254,"3.928"
"2524",593,72616,2023,"Ava Vincequere",38.2,41,9,2,15,2,"3.455",0.252,1.351,"3.153"
"2525",627,68667,2023,"Kelsey Tadlock",38.2,63,24,4,16,7,"7.597",0.346,2.351,"6.095"
"2526",1163,32448,2023,"Ashtin Hoover",38.2,58,28,6,6,2,"6.150",0.307,2.377,"5.397"
"2527",1355,55601,2023,"Amanda Pollock",38.2,61,45,3,12,1,"7.235",0.328,2.817,"5.837"
"2528",1445,42800,2023,"Emily Maddux",38.2,61,26,6,26,13,"9.455",0.328,2.416,"7.932"
"2529",1461,33123,2023,"Hillary Huffer",38.2,66,13,0,18,1,"4.727",0.324,2.052,"2.816"
"2530",12799,8000,2023,"Jenee Brodeur",38.2,57,20,5,15,7,"7.435",0.317,2.124,"5.923"
"2531",30002,72326,2023,"Rylee Veron",38.2,42,11,5,15,3,"1.995",0.258,1.503,"3.877"
"2532",30075,11718,2023,"Hannah Chambers",38.2,84,35,2,10,3,"11.818",0.406,3.143,"5.777"
"2533",30154,18174,2023,"Jill Dixon",38.2,56,18,2,31,12,"6.710",0.286,1.969,"6.390"
"2534",105,30670,2023,"Paige Henry",38.1,54,25,7,8,2,"5.300",0.31,2.245,"5.168"
"2535",239,37010,2023,"Kayla Kilmer",38.1,89,27,5,17,3,"8.613",0.416,3.168,"5.044"
