"","team_id","player_id","season","player","ab","h","x2b","x3b","hr","rbi","r","bb","hbp","k","sb","cs","avg","obp","ops"
"4508",504,13252,2022,"Addison Mcelrath",24,3,1,0,0,2,1,1,0,7,0,0,"0.125",0.154,"0.321"
"4509",596,13363,2022,"Emily Mckenna",15,2,0,0,0,0,2,0,1,8,0,0,"0.133",0.188,"0.321"
"4510",688,3714,2022,"Rebecca Clyde",61,6,2,0,0,6,6,6,2,17,0,0,"0.098",0.189,"0.320"
"4511",83,12205,2022,"Kailyn Lorberter",70,9,2,0,0,2,2,2,1,8,0,0,"0.129",0.162,"0.319"
"4512",361,4793,2022,"Kelsey Day",14,1,1,0,0,2,1,0,2,6,0,0,"0.071",0.176,"0.319"
"4513",647,21059,2022,"Heaven Vonrosenberg",17,2,0,0,0,0,0,2,0,5,1,0,"0.118",0.2,"0.318"
"4514",1092,18563,2022,"Baylee Short",39,5,0,0,0,3,3,3,0,15,2,2,"0.128",0.19,"0.318"
"4515",112,15427,2022,"Mikaila Pancino",36,3,1,0,0,3,2,6,0,13,1,2,"0.083",0.205,"0.316"
"4516",489,9154,2022,"Taylor Hilliard",44,6,2,0,0,5,3,0,0,17,0,0,"0.136",0.133,"0.315"
"4517",534,12004,2022,"Natalie Linker",54,7,0,0,0,2,9,1,4,15,1,2,"0.130",0.185,"0.315"
"4518",667,17854,2022,"Madison Sanders",29,3,0,0,0,0,1,4,0,15,0,0,"0.103",0.212,"0.315"
"4519",676,14753,2022,"Madison Nguyen",28,4,0,0,0,0,10,1,0,4,0,0,"0.143",0.172,"0.315"
"4520",439,9494,2022,"Briana Hoskins",28,2,1,0,0,0,2,5,0,18,1,1,"0.071",0.206,"0.313"
"4521",184,14285,2022,"Keira Morrow",13,1,0,0,0,0,0,3,0,3,0,0,"0.077",0.235,"0.312"
"4522",312,8861,2022,"Emma Henderson",31,4,0,0,0,3,1,1,1,6,0,0,"0.129",0.182,"0.311"
"4523",332,122,2022,"Ashley Adkins",9,1,0,0,0,0,0,1,0,3,0,0,"0.111",0.2,"0.311"
"4524",487,6351,2022,"Holley Files",9,1,0,0,0,1,0,1,0,2,0,0,"0.111",0.2,"0.311"
"4525",659,554,2022,"Emma Anthony",18,2,0,0,0,2,1,1,1,10,0,0,"0.111",0.2,"0.311"
"4526",68,1790,2022,"Allison Boaz",6,1,0,0,0,2,0,0,0,1,0,0,"0.167",0.143,"0.310"
"4527",184,15636,2022,"Elizabeth Paver",80,7,0,0,2,5,4,5,1,26,1,0,"0.088",0.148,"0.310"
"4528",371,15327,2022,"Riley Owens",46,6,0,0,0,1,4,3,0,20,0,0,"0.130",0.18,"0.310"
"4529",774,18995,2022,"Mary Smithnosky",28,4,0,0,0,0,2,1,0,7,0,0,"0.143",0.167,"0.310"
"4530",664,22247,2022,"Caroline Worrell",23,2,0,0,0,0,2,4,0,8,0,0,"0.087",0.222,"0.309"
"4531",404,14414,2022,"E'mua Munford",13,2,0,0,0,2,0,0,0,6,0,0,"0.154",0.154,"0.308"
"4532",534,14067,2022,"Talissa Montez",31,4,1,0,0,3,1,1,0,7,0,0,"0.129",0.147,"0.308"
"4533",587,21812,2022,"Courtney Wilde",19,2,1,0,0,1,1,1,0,9,0,0,"0.105",0.15,"0.308"
"4534",732,15239,2022,"Shelbi Ortiz",19,3,0,0,0,3,8,0,0,3,4,1,"0.158",0.15,"0.308"
"4535",410,20366,2022,"Allison Torstensen",16,2,1,0,0,2,0,0,0,4,0,0,"0.125",0.118,"0.306"
"4536",648,16218,2022,"Leah Powell",14,1,0,0,0,1,0,0,3,6,0,0,"0.071",0.235,"0.306"
"4537",272,22052,2022,"Milena Wilton",56,7,0,0,0,2,3,2,2,6,0,0,"0.125",0.18,"0.305"
"4538",331,16489,2022,"Jade Ramer",25,3,0,0,0,1,13,2,0,6,1,0,"0.120",0.185,"0.305"
"4539",534,5918,2022,"Nikki Enriquez",11,1,0,0,0,0,2,1,1,5,0,0,"0.091",0.214,"0.305"
"4540",308,14041,2022,"Alise Moneypenny",23,3,1,0,0,1,2,0,0,11,0,0,"0.130",0.13,"0.304"
"4541",386,3885,2022,"Kaley Coltrain",28,2,2,0,0,2,3,3,0,5,0,0,"0.071",0.161,"0.304"
"4542",410,4365,2022,"Olivia Crowley",24,3,0,0,0,1,2,1,1,10,0,0,"0.125",0.179,"0.304"
"4543",590,6840,2022,"Marie Funes",30,4,0,0,0,2,0,2,0,13,0,0,"0.133",0.171,"0.304"
"4544",771,11828,2022,"Megan Leonard",47,5,1,0,0,0,6,3,1,11,2,0,"0.106",0.176,"0.304"
"4545",665,11590,2022,"Raquel Latta",25,3,2,0,0,3,1,0,0,4,0,0,"0.120",0.103,"0.303"
"4546",90,15769,2022,"Mia Perez",59,7,0,0,0,3,4,5,0,18,0,0,"0.119",0.182,"0.301"
"4547",314,18829,2022,"Nadia Smartt",32,4,0,0,0,2,5,2,0,12,1,1,"0.125",0.176,"0.301"
