"","game_id","team","opponent","player_id","player","ip","ha","er","bb","hb","so","bf","hr_a","go","fo"
"10857","4498433","Furman","Georgetown",58403,"Angelina Ricciardi",3,4,0,3,0,3,16,0,5,1
"10858","4504601","Furman","Presbyterian",58403,"Angelina Ricciardi",3,1,0,3,0,2,14,0,7,0
"10859","4503838","Defiance","Calvin",14732,"Anika Craft",3,6,3,4,0,4,20,0,4,1
"10860","5252742","Wis.-Stout","St. Norbert",5995,"Anna Blanford",3,0,0,1,0,3,10,0,2,4
"10861","4500375","Wis.-Stout","Fontbonne",5995,"Anna Blanford",3,4,2,0,0,0,14,0,3,5
"10862","4503737","Hofstra","Drexel",9521,"Anna Butler",3,4,2,2,0,1,15,0,6,2
"10863","4496995","Elon","Miami (OH)",17628,"Anna Dew",3,2,4,4,0,2,17,1,4,3
"10864","5252779","Greensboro","Rhode Island Col.",23344,"Anna Frazier",3,1,0,2,1,0,11,0,4,3
"10865","5251898","Merrimack","Charleston So.",24999,"Anna Gedacht",3,5,1,0,0,2,15,0,3,4
"10866","5251653","Merrimack","UMBC",24999,"Anna Gedacht",3,4,1,0,0,1,13,0,6,2
"10867","4504534","Bowdoin","Carleton",28594,"Anna Halliday",3,4,4,4,0,1,17,0,2,6
"10868","4501453","UT Martin","Murray St.",30130,"Anna Hazlewood",3,2,1,0,0,1,12,0,1,7
"10869","4498976","Rockhurst","Winona St.",50670,"Anna Newcomer",3,3,2,0,1,1,14,0,3,5
"10870","4498933","Harvard","Manhattan",57711,"Anna Reed",3,3,0,3,0,3,13,0,3,1
"10871","4502402","Centenary (LA)","Millsaps",62244,"Anna Scarbock",3,2,0,0,0,1,10,0,4,2
"10872","4497195","California","New Mexico",69320,"Annabel Teperson",3,3,0,1,0,2,14,0,4,3
"10873","5253730","Auburn","Arkansas",75266,"Annabelle Widra",3,3,1,0,0,1,13,1,1,7
"10874","4502657","Charleston So.","UNC Greensboro",35765,"Annah Junge",3,6,1,0,0,0,16,0,3,6
"10875","4499551","Charleston So.","Florida St.",35765,"Annah Junge",3,6,7,2,1,1,19,1,4,3
"10876","4500629","Charleston So.","Northern Ky.",35765,"Annah Junge",3,0,0,0,0,3,9,0,3,3
"10877","5249312","Charleston So.","Florida St.",35765,"Annah Junge",3,6,7,2,1,1,19,1,4,3
"10878","4496791","UIW","Lindenwood",28023,"Annie Gunther",3,2,0,0,0,1,10,0,4,3
"10879","4515843","UIW","Grambling",28023,"Annie Gunther",3,0,0,1,0,1,11,0,8,0
"10880","4499556","UIW","Campbell",28023,"Annie Gunther",3,2,0,0,0,1,10,0,4,3
"10881","5252531","UIW","Southeastern La.",28023,"Annie Gunther",3,5,3,0,0,2,14,0,3,2
"10882","4497587","Portland St.","UC Riverside",40497,"Annie Lemos",3,6,3,2,1,2,18,1,2,5
"10883","4501819","Indiana St.","Ball St.",73066,"Annie Waggoner",3,1,0,3,0,2,14,0,2,6
"10884","4499289","Thomas More","Davenport",25063,"Annika Gels",3,8,7,1,1,4,20,0,2,3
"10885","4516054","Sewanee","LaGrange",25463,"Ansley Giffin",3,6,3,2,1,1,15,0,0,5
