"","game_id","team","opponent","player_id","player","ip","ha","er","bb","hb","so","bf","hr_a","go","fo"
"158","1896127","Fordham","George Mason",52285,"Lauren Quense",9,7,2,3,0,8,38,0,8,11
"159","1884716","Texas A&M","Arizona St.",60492,"Lexi Smith",9,3,1,8,0,11,39,0,5,11
"160","1898522","Cal Poly","Long Beach St.",10756,"Lindsey Chalmers",9,6,1,4,0,10,39,0,10,7
"161","1898963","Cornell","Columbia",46538,"Lisa Nelson",9,8,3,7,0,6,43,0,10,12
"162","1894493","UTSA","UTEP",21264,"Lizzy Fox",9,15,7,4,1,4,49,3,11,11
"163","1897059","Cleveland St.","Wright St.",33022,"Macy Kaisk",9,8,2,1,0,1,35,1,14,11
"164","1896007","Youngstown St.","UIC",39118,"Maddi Lusk",9,6,1,1,2,12,37,0,13,2
"165","1902758","Southeast Mo. St.","Tennessee St.",35572,"Madeline Krumrey",9,6,3,5,1,8,39,0,4,15
"166","1904900","Fordham","Massachusetts",2272,"Madie Aughinbaugh",9,13,0,0,0,5,39,0,10,11
"167","1898963","Columbia","Cornell",9428,"Madison Canby",9,11,4,4,0,2,43,0,13,11
"168","1896127","George Mason","Fordham",67069,"Marina Vitalich",9,7,2,5,1,6,43,0,7,14
"169","1896060","Pacific","San Diego",71363,"Marissa Young",9,10,2,3,0,2,42,0,17,7
"170","1897693","Massachusetts","Rhode Island",12277,"Meg Colleran",9,12,5,3,0,5,42,0,18,4
"171","1888454","Norfolk St.","FDU",52098,"Megan Przeslawski",9,9,4,3,1,1,36,0,7,14
"172","1890867","ULM","Ga. Southern",13526,"Melanie Coyne",9,5,0,2,1,7,36,0,5,15
"173","1900990","ULM","South Alabama",13526,"Melanie Coyne",9,8,7,1,5,12,37,2,2,9
"174","1898304","ULM","Troy",13526,"Melanie Coyne",9,2,1,3,4,7,35,0,4,15
"175","1902163","UNLV","Fresno St.",19275,"Morgan Ettinger",9,10,3,3,0,4,41,1,9,13
"176","1882681","South Carolina","Longwood",5714,"Nickie Blue",9,3,0,2,0,5,31,0,14,7
"177","1896270","ULM","App State",51508,"Paige Porter",9,5,1,0,2,7,36,1,9,11
"178","1898168","Central Mich.","Toledo",34736,"Rachel Knapp",9,4,0,3,0,8,35,0,10,9
"179","1896529","Notre Dame","North Carolina",46279,"Rachel Nasland",9,6,1,3,0,7,35,1,8,11
"180","1886540","Troy","Illinois",54158,"Rachel Rigney",9,7,4,3,0,2,37,1,8,16
"181","1902563","Nevada","Colorado St.",55080,"Rachel Rodriguez",9,8,3,4,0,4,41,0,15,8
"182","1903904","Texas St.","UT Arlington",56067,"Randi Rupp",9,9,0,0,0,9,36,0,6,11
"183","1895320","Texas St.","Texas",56067,"Randi Rupp",9,5,0,2,0,7,36,0,10,9
"184","1884596","FGCU","Boston College",52818,"Riley Randolph",9,2,1,1,0,7,29,0,7,12
"185","1903594","FGCU","Lipscomb",52818,"Riley Randolph",9,4,2,1,0,7,32,0,7,13
"186","1897659","FGCU","Fla. Atlantic",52818,"Riley Randolph",9,10,3,0,1,12,38,1,7,8
"187","1902891","Mount St. Mary's","Bryant",37740,"Sam Lichtner",9,5,1,3,0,4,36,0,15,7
"188","1899032","UNCW","Hofstra",15118,"Sarah Davis",9,7,4,5,1,2,39,0,12,12
"189","1886617","Iowa","Arizona St.",61730,"Shayla Starkenburg",9,9,1,0,0,4,36,1,11,10
"190","1904272","Niagara","Canisius",4837,"Sierra Bertrand",9,9,3,1,1,11,39,1,10,7
"191","1896650","Cal Poly","Cal St. Fullerton",31051,"Sierra Hyland",9,5,0,3,0,7,35,0,6,12
"192","1896018","North Texas","Southern Miss.",65875,"Stacey Underwood",9,8,0,2,2,6,39,0,9,11
"193","1898951","Jackson St.","Mississippi Val.",69790,"Symone Williams",9,12,5,5,1,3,48,0,8,13
