logo,team_name,record,rpi_rank,nfca_rank,offensive_rank,defensive_rank,overall_rank,team_id
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/54.gif,Bemidji St.,3-3-0,201,NA,203,200,202,54
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/106.gif,California (PA),2-9-0,218,NA,230,168,203,106
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/636.gif,Shaw,2-3-0,98,NA,52,238,204,636
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/143.gif,Clarion,4-6-0,237,NA,205,202,205,143
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/632.gif,Savannah St.,3-4-0,234,NA,224,184,206,632
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/174.gif,Davis & Elkins,2-10-0,228,NA,110,234,207,174
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/30141.gif,Walsh,2-5-0,169,NA,208,203,208,30141
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/205.gif,Mont. St. Billings,3-4-0,227,NA,126,231,209,205
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/1445.gif,Western N.M.,4-14-0,164,NA,136,228,210,1445
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/1015.gif,Christian Brothers,2-12-0,197,NA,178,213,211,1015
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/27854.gif,Minn.-Crookston,1-4-0,224,NA,243,149,212,27854
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/55.gif,Benedict,5-5-0,179,NA,218,199,213,55
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/243.gif,Frostburg St.,2-8-0,206,NA,125,233,214,243
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/743.gif,Virginia St.,2-6-0,214,NA,106,237,215,743
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/30054.gif,Newman,3-11-0,226,NA,166,223,216,30054
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/1010.gif,Central Wash.,2-7-0,215,NA,165,227,217,1010
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/357.gif,Lincoln (PA),2-5-0,200,NA,180,221,218,357
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/21323.gif,Chestnut Hill,2-5-0,221,NA,213,211,219,21323
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/1083.gif,Fort Lewis,1-9-0,231,NA,246,126,220,1083
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/8577.gif,N.M. Highlands,2-10-0,163,NA,216,212,221,8577
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/546.gif,Pitt.-Johnstown,1-5-0,203,NA,241,188,222,546
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/210.gif,Elizabeth City St.,1-10-0,244,NA,225,208,223,210
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/1402.gif,Thomas More,4-4-0,150,NA,198,224,224,1402
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/422.gif,Miles,1-9-0,194,NA,207,225,226,422
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/985.gif,Bluefield St.,2-7-0,223,NA,58,243,227,985
http://web2.ncaa.org/ncaa_style/img/All_Logos/sm/1390.gif,Sul Ross St.,4-12-0,196,NA,217,220,228,1390
